"STUB_1","STUB_2","10/16/15","10/9/15","10/17/14","10/18/13","10/16/15","10/17/14"
"Crude Oil Production ","Domestic Production","9,096","9,096","8,934","7,896","9,115","8,899"
"Crude Oil Production ","Alaska","490","490","491","540","484","498"
"Crude Oil Production ","Lower 48","8,606","8,606","8,443","7,356","8,631","8,401"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,345","15,267","15,208","14,855","15,533","15,443"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,141","1,145","1,143","852","1,085","1,146"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","2,824","2,827","3,217","3,437","3,008","3,392"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,416","8,307","7,894","7,697","8,392","8,000"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","608","595","524","527","597","567"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,356","2,392","2,429","2,342","2,451","2,338"
"Refiner Inputs and Utilization ","Gross Inputs","15,597","15,537","15,447","15,308","15,771","15,761"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,140","1,144","1,150","862","1,085","1,152"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","2,823","2,827","3,223","3,438","3,009","3,397"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,557","8,454","7,962","7,950","8,522","8,162"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","605","595","526","529","595","570"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,473","2,518","2,586","2,529","2,560","2,481"
"Refiner Inputs and Utilization ","Operable Capacity","18,058","18,058","17,814","17,815","18,038","17,814"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,273","1,273","1,297","1,294","1,271","1,297"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,842","3,842","3,810","3,769","3,842","3,810"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,360","9,360","9,154","9,093","9,344","9,154"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","651","651","647","630","649","647"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,933","2,933","2,907","3,029","2,933","2,907"
"Refiner Inputs and Utilization ","Percent Utilization","86.4","86.0","86.7","85.9","87.4","88.5"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","89.5","89.8","88.6","66.6","85.4","88.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","73.5","73.6","84.6","91.2","78.3","89.2"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","91.4","90.3","87.0","87.4","91.2","89.2"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","92.9","91.3","81.3","84.0","91.7","88.0"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","84.3","85.9","89.0","83.5","87.3","85.4"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","1,058","1,118","914","386","823","798"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,273","2,191","2,177","2,123","2,221","2,092"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","578","609","532","152","556","451"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,092","-1,917","-1,904","-2,071","-2,131","-1,896"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-6","-14","26","-19","-14","24"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","306","250","83","201","191","128"
"Refiner and Blender Net Inputs ","RBOB","556","490","369","549","338","334"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","565","596","505","682","525","505"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","47","1","35","63","27","49"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-220","-218","-212","-219","-283","-254"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","164","111","41","23","70","34"
"Refiner and Blender Net Inputs ","CBOB","-202","72","217","-307","52","214"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,376","1,254","1,439","1,272","1,377","1,415"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","431","538","373","37","468","309"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,084","-1,766","-1,721","-1,701","-1,855","-1,641"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-6","-13","25","-31","-8","34"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","81","59","102","116","70","97"
"Refiner and Blender Net Inputs ","GTAB","128","80","79","17","98","8"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","128","80","79","17","98","8"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","576","477","248","127","335","241"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","204","261","154","152","221","163"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","100","71","124","53","61","93"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","212","66","29","-151","7","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-1","-1","1","12","-6","-10"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","60","80","-60","61","52","-4"
"Refiner and Blender Net Inputs ","Fuel Ethanol","897","887","876","851","887","870"
