"STUB_1","STUB_2","6/1/12","5/25/12","6/3/11","6/4/10","6/1/12","6/3/11"
"Crude Oil Production ","Domestic Production","6,245","6,227","5,633","5,445","6,215","5,611"
"Crude Oil Production ","Alaska","532","534","578","563","542","576"
"Crude Oil Production ","Lower 48","5,713","5,693","5,055","4,882","5,673","5,035"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,468","15,169","15,112","15,187","15,167","14,788"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","985","923","1,136","1,250","932","1,153"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,407","3,496","3,286","3,396","3,451","3,318"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,986","7,661","7,667","7,646","7,818","7,489"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","570","558","573","545","535","545"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,519","2,532","2,449","2,349","2,432","2,282"
"Refiner Inputs and Utilization ","Gross Inputs","15,675","15,424","15,438","15,660","15,408","15,162"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","988","926","1,122","1,252","934","1,150"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,396","3,471","3,315","3,440","3,454","3,333"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,097","7,823","7,795","7,928","7,935","7,656"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","579","563","574","552","541","547"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,615","2,642","2,631","2,488","2,544","2,476"
"Refiner Inputs and Utilization ","Operable Capacity","17,230","17,312","17,698","17,584","17,292","17,698"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,188","1,188","1,580","–","1,188","1,580"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,665","3,663","3,721","–","3,664","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","–","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","623","624","–","623","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,028","3,113","3,128","–","3,092","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","91.0","89.1","87.2","89.1","89.1","85.7"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","83.1","77.9","71.0","–","78.6","72.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","92.7","94.8","89.1","–","94.3","89.6"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","92.8","89.7","90.2","–","91.0","88.6"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","92.8","90.3","92.0","–","86.8","87.7"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","86.4","84.9","84.1","–","82.3","79.1"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","210","577","814","626","609","878"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,036","2,182","1,992","–","2,134","1,965"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","215","121","239","–","196","250"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,017","-1,819","-1,692","–","-1,880","-1,546"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-2","-19","10","–","2","-3"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-23","112","265","–","157","212"
"Refiner and Blender Net Inputs ","RBOB","274","374","238","–","308","232"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","547","528","396","–","507","394"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","69","95","95","–","80","71"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-344","-286","-353","–","-352","-329"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","2","37","100","–","72","96"
"Refiner and Blender Net Inputs ","CBOB","-336","-140","128","–","-160","152"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,208","1,304","1,259","–","1,276","1,175"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","110","67","69","–","79","143"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,646","-1,584","-1,312","–","-1,585","-1,218"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-22","-22","4","–","-14","-4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","14","95","109","–","84","56"
"Refiner and Blender Net Inputs ","GTAB","98","73","93","–","59","117"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","98","73","87","–","59","114"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","6","–","0","3"
"Refiner and Blender Net Inputs ","All Other Blending Components","175","270","354","–","402","377"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","184","276","250","–","293","282"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","36","-41","75","–","36","35"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-27","51","-26","–","57","2"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","21","3","6","–","16","1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-39","-19","50","–","1","57"
"Refiner and Blender Net Inputs ","Fuel Ethanol","816","857","787","–","839","807"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","304","320","304","–","313","306"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","223","238","202","–","232","215"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","126","127","120","–","127","122"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","23","24","19","–","23","18"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","140","148","142","–","144","145"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,056","9,153","9,446","9,223","9,063","9,317"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","8,825","9,023","9,194","9,037","8,936","9,320"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,858","3,008","2,925","2,642","2,958","2,997"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,186","2,206","2,090","2,173","2,221","2,201"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,979","1,994","2,326","2,463","1,936","2,312"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","303","262","336","327","279","292"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,498","1,554","1,516","1,432","1,542","1,518"
"Refiner and Blender Net Production ","Adjustment","231","130","252","–","127","-3"
"Refiner and Blender Net Production ","Reformulated","2,926","3,117","2,907","2,908","3,034","3,010"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,151","1,215","1,141","1,210","1,193","1,168"
"Refiner and Blender Net Production ","Midwest (PADD 2)","337","374","317","350","358","343"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","412","426","418","410","418","434"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,026","1,102","1,031","938","1,065","1,065"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,908","3,104","2,885","2,866","3,019","2,987"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,151","1,215","1,141","–","1,193","1,169"
"Refiner and Blender Net Production ","Midwest (PADD 2)","337","374","317","–","358","343"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","394","413","395","–","403","409"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,026","1,102","1,031","–","1,065","1,065"
"Refiner and Blender Net Production ","Other","19","13","23","41","15","24"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","–","0","-1"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","–","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","19","13","23","–","15","25"
