"STUB_1","STUB_2","11/21/14","11/14/14","11/22/13","11/23/12","11/21/14","11/22/13"
"Crude Oil Production ","Domestic Production","9,077","9,004","8,019","6,818","9,029","7,958"
"Crude Oil Production ","Alaska","511","516","539","558","511","533"
"Crude Oil Production ","Lower 48","8,566","8,488","7,480","6,260","8,519","7,425"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,957","15,913","15,551","15,174","15,777","15,369"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,114","1,127","979","850","1,134","932"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,461","3,367","3,620","3,307","3,332","3,550"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,328","8,373","8,021","8,095","8,255","7,915"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","605","590","583","566","592","576"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,449","2,455","2,349","2,357","2,463","2,397"
"Refiner Inputs and Utilization ","Gross Inputs","16,291","16,246","15,917","15,400","16,083","15,741"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,117","1,133","986","849","1,138","938"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,469","3,373","3,622","3,265","3,339","3,553"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,587","8,598","8,176","8,237","8,460","8,098"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","606","593","587","569","595","582"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,512","2,549","2,547","2,479","2,551","2,570"
"Refiner Inputs and Utilization ","Operable Capacity","17,814","17,814","17,815","17,380","17,814","17,815"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,297","1,297","1,294","1,293","1,297","1,294"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,810","3,810","3,769","3,710","3,810","3,769"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,154","9,154","9,093","8,725","9,154","9,093"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","647","647","630","624","647","630"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,907","2,907","3,029","3,028","2,907","3,029"
"Refiner Inputs and Utilization ","Percent Utilization","91.5","91.2","89.4","88.6","90.3","88.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","86.2","87.4","76.2","65.7","87.8","72.5"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","91.0","88.5","96.1","88.0","87.6","94.3"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","93.8","93.9","89.9","94.4","92.4","89.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","93.7","91.6","93.2","91.3","92.0","92.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","86.4","87.7","84.1","81.9","87.8","84.8"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","235","363","633","93","366","638"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,045","2,076","2,105","2,034","2,054","2,151"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","343","316","318","81","389","389"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,172","-2,091","-1,974","-2,124","-2,178","-2,034"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","4","28","-7","-12","17","7"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","16","35","191","113","83","124"
"Refiner and Blender Net Inputs ","RBOB","190","161","381","417","204","412"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","517","547","569","656","480","628"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","49","-30","-29","55","43","11"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-363","-291","-269","-305","-310","-271"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-13","-66","110","12","-8","44"
"Refiner and Blender Net Inputs ","CBOB","114","-194","118","-364","8","70"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,417","1,345","1,308","1,185","1,406","1,343"
