"STUB_1","STUB_2","12/16/11","12/9/11","12/17/10","12/18/09","12/16/11","12/17/10"
"Crude Oil Production ","Domestic Production","5,862","5,862","5,598","5,524","5,862","5,585"
"Crude Oil Production ","Alaska","605","605","615","659","605","615"
"Crude Oil Production ","Lower 48","5,257","5,257","4,983","4,865","5,258","4,970"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,604","14,657","14,926","13,777","14,768","14,729"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","938","1,094","1,086","1,127","1,037","1,068"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,497","3,505","3,310","3,146","3,522","3,295"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,214","7,358","7,570","6,669","7,362","7,432"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","559","559","518","494","567","541"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,396","2,143","2,442","2,341","2,280","2,394"
"Refiner Inputs and Utilization ","Gross Inputs","15,063","15,097","15,429","14,151","15,181","15,208"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","939","1,094","1,085","1,135","1,038","1,064"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,522","3,530","3,341","3,164","3,542","3,335"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,499","7,611","7,876","6,909","7,599","7,679"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","561","559","517","496","568","541"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,542","2,303","2,610","2,447","2,435","2,590"
"Refiner Inputs and Utilization ","Operable Capacity","17,736","17,736","17,594","17,681","17,736","17,594"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,618","1,618","1,397","–","1,618","1,397"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,721","3,721","3,728","–","3,721","3,728"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,646","8,646","8,626","–","8,646","8,626"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","623","–","624","623"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,128","3,128","3,219","–","3,128","3,219"
"Refiner Inputs and Utilization ","Percent Utilization","84.9","85.1","87.7","80.0","85.6","86.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","58.0","67.6","77.7","–","64.1","76.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.6","94.9","89.6","–","95.2","89.5"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","86.7","88.0","91.3","–","87.9","89.0"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","89.9","89.6","82.9","–","91.0","86.9"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","81.3","73.6","81.1","–","77.8","80.4"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","514","571","627","817","388","557"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,107","1,927","1,992","–","1,921","1,912"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","107","104","168","–","90","176"
