"STUB_1","STUB_2","4/23/21","4/16/21","4/24/20","4/26/19","4/23/21","4/24/20"
"Crude Oil Production ","Domestic Production","10,900","11,000","12,100","12,300","10,950","12,250"
"Crude Oil Production ","Alaska","442","446","466","477","451","473"
"Crude Oil Production ","Lower 48","10,500","10,600","11,600","11,800","10,500","11,750"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,018","14,765","12,761","16,446","14,970","12,879"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","626","562","502","1,106","633","510"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,362","3,477","3,011","3,551","3,516","2,879"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,463","8,148","7,183","8,912","8,244","7,314"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","521","509","441","600","528","450"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,047","2,069","1,624","2,277","2,048","1,726"
"Refiner Inputs and Utilization ","Gross Inputs","15,487","15,424","13,207","16,741","15,444","13,340"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","628","565","572","1,132","644","540"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,371","3,484","3,021","3,555","3,526","2,891"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,740","8,625","7,455","9,036","8,517","7,622"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","521","509","447","598","528","457"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,228","2,240","1,713","2,419","2,228","1,830"
"Refiner Inputs and Utilization ","Operable Capacity","18,143","18,143","18,974","18,762","18,204","18,932"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","1,224","1,224","836","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,188","4,188","4,196","4,141","4,185","4,184"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,767","9,767","9,983","9,835","9,814","9,956"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","657","657","696","687","655","694"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,714","2,714","2,875","2,875","2,714","2,875"
"Refiner Inputs and Utilization ","Percent Utilization","85.4","85.0","69.6","89.2","84.8","70.5"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","76.8","69.1","46.7","92.5","77.0","44.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","80.5","83.2","72.0","85.9","84.3","69.1"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","89.5","88.3","74.7","91.9","86.8","76.6"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","79.3","77.5","64.2","87.0","80.5","65.9"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","82.1","82.5","59.6","84.2","82.1","63.7"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","1,093","1,036","543","642","905","-291"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,343","2,407","1,507","2,165","2,259","1,310"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","291","335","178","349","249","21"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,809","-1,937","-1,277","-2,096","-1,819","-1,622"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","13","-23","-9","-23","-6","-24"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","254","254","144","246","223","24"
"Refiner and Blender Net Inputs ","RBOB","206","516","192","236","303","111"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","424","572","207","264","410","214"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","59","115","74","50","99","20"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-318","-252","-210","-189","-260","-137"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","41","81","121","112","55","14"
"Refiner and Blender Net Inputs ","CBOB","325","229","91","-60","232","-397"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,367","1,524","1,118","1,521","1,480","1,011"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","211","189","130","300","150","5"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,361","-1,606","-1,185","-1,922","-1,517","-1,394"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-18","-18","-12","-12","-14","-25"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","126","140","41","53","132","7"
"Refiner and Blender Net Inputs ","GTAB","212","212","27","204","167","16"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","212","212","27","204","167","16"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","349","80","234","263","203","-21"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","340","99","155","177","203","69"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","21","31","-27","-1","0","-4"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-130","-79","119","16","-42","-90"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","32","-5","4","-11","7","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","86","33","-17","82","35","3"
"Refiner and Blender Net Inputs ","Fuel Ethanol","880","890","583","928","885","529"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","316","319","203","337","317","184"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","236","238","162","247","237","146"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","148","152","102","154","151","93"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","29","20","31","29","18"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","150","152","97","159","151","88"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,629","9,386","6,735","9,927","9,477","6,168"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,573","9,734","6,571","9,931","9,613","6,074"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,100","3,125","1,972","3,300","3,094","1,794"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,456","2,448","1,676","2,584","2,457","1,545"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,213","2,321","1,691","2,145","2,249","1,575"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","313","293","214","324","306","201"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,491","1,548","1,018","1,578","1,507","958"
"Refiner and Blender Net Production ","Adjustment","56","-348","165","-4","-135","94"
"Refiner and Blender Net Production ","Reformulated","2,925","2,968","1,888","3,206","2,935","1,698"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,130","1,144","696","1,263","1,127","627"
"Refiner and Blender Net Production ","Midwest (PADD 2)","329","325","218","348","326","194"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","444","452","310","487","450","275"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,022","1,047","664","1,108","1,032","603"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,925","2,968","1,888","3,206","2,935","1,698"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,130","1,144","696","1,263","1,127","627"
"Refiner and Blender Net Production ","Midwest (PADD 2)","329","325","218","348","326","194"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","444","452","310","487","450","275"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,022","1,047","664","1,108","1,032","603"
"Refiner and Blender Net Production ","Other","0","0","0","0","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","6,648","6,766","4,683","6,724","6,678","4,376"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,970","1,981","1,277","2,037","1,967","1,168"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,127","2,122","1,458","2,235","2,131","1,352"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,769","1,869","1,381","1,658","1,799","1,300"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","313","293","214","324","306","201"
"Refiner and Blender Net Production ","West Coast (PADD 5)","469","501","354","470","475","355"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","5,804","5,873","3,917","6,008","5,844","3,582"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,004","2,024","1,316","2,088","2,016","1,206"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,000","2,015","1,377","2,103","2,009","1,254"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,024","1,057","721","1,034","1,045","662"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","293","292","196","309","296","181"
"Refiner and Blender Net Production ","West Coast (PADD 5)","482","485","307","473","478","281"
"Refiner and Blender Net Production ","Ed55 and Lower","5,799","5,867","3,913","6,002","5,839","3,579"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,004","2,023","1,315","2,087","2,015","1,205"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,997","2,011","1,375","2,100","2,006","1,253"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,023","1,056","720","1,033","1,044","661"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","293","292","196","309","295","180"
"Refiner and Blender Net Production ","West Coast (PADD 5)","482","485","307","473","478","280"
"Refiner and Blender Net Production ","Greater than Ed55","5","6","4","5","6","3"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1","1","1","1","1","1"
"Refiner and Blender Net Production ","Midwest (PADD 2)","3","4","2","3","3","1"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1","1","0","1","1","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","1","0","0","0","1","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","1","0","0","1"
"Refiner and Blender Net Production ","Other","844","893","765","716","834","793"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-34","-43","-40","-51","-49","-38"
"Refiner and Blender Net Production ","Midwest (PADD 2)","127","107","81","132","122","98"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","745","812","660","624","754","638"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","20","0","18","15","10","21"
"Refiner and Blender Net Production ","West Coast (PADD 5)","-13","17","46","-3","-3","74"
"Refiner and Blender Net Production ","Kerosene-Type Jet Fuel","1,211","1,190","602","1,719","1,188","709"
"Refiner and Blender Net Production ","East Coast (PADD 1)","31","31","-5","97","44","12"
"Refiner and Blender Net Production ","Midwest (PADD 2)","223","220","97","275","216","118"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","618","604","342","950","608","383"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","37","35","15","24","32","15"
"Refiner and Blender Net Production ","West Coast (PADD 5)","302","300","153","373","287","181"
"Refiner and Blender Net Production ","Commercial","1,155","1,130","510","1,670","1,132","620"
"Refiner and Blender Net Production ","East Coast (PADD 1)","31","32","-5","97","45","12"
"Refiner and Blender Net Production ","Midwest (PADD 2)","222","220","92","272","215","113"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","573","560","272","923","568","317"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","34","31","14","22","29","13"
"Refiner and Blender Net Production ","West Coast (PADD 5)","295","287","137","358","276","165"
"Refiner and Blender Net Production ","Military","54","60","91","48","54","88"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1","1","4","4","2","6"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","45","44","70","27","40","65"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","2","2","1","2","2","1"
"Refiner and Blender Net Production ","West Coast (PADD 5)","7","13","16","16","10","16"
"Refiner and Blender Net Production ","Distillate Fuel Oil","4,626","4,555","4,982","5,128","4,616","4,975"
"Refiner and Blender Net Production ","East Coast (PADD 1)","183","179","237","323","182","230"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,004","1,002","1,127","1,146","1,032","1,031"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,776","2,699","2,893","2,976","2,720","2,931"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","157","188","177","202","166","181"
"Refiner and Blender Net Production ","West Coast (PADD 5)","506","487","548","482","514","601"
"Refiner and Blender Net Production ","15 ppm sulfur and Under","4,393","4,369","4,723","4,847","4,410","4,683"
"Refiner and Blender Net Production ","East Coast (PADD 1)","190","190","230","314","184","222"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,006","983","1,122","1,175","1,033","1,033"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,549","2,568","2,680","2,692","2,531","2,690"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","157","184","173","201","165","177"
"Refiner and Blender Net Production ","West Coast (PADD 5)","491","444","518","465","498","560"
"Refiner and Blender Net Production ","> 15 ppm to 500 ppm sulfur","162","79","112","114","123","124"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3","-1","8","13","2","10"
"Refiner and Blender Net Production ","Midwest (PADD 2)","-1","4","1","-2","1","2"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","157","43","68","96","108","97"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","1","5","5","3","3","4"
"Refiner and Blender Net Production ","West Coast (PADD 5)","3","28","29","5","9","11"
"Refiner and Blender Net Production ","> 500 ppm sulfur","70","107","147","167","83","168"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-10","-10","-1","-4","-3","-2"
"Refiner and Blender Net Production ","Midwest (PADD 2)","-1","15","3","-27","-2","-4"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","71","88","145","188","82","143"
