"STUB_1","STUB_2","5/3/19","4/26/19","5/4/18","5/5/17","5/3/19","5/4/18"
"Crude Oil Production ","Domestic Production","12,200","12,300","10,703","9,314","12,200","10,612"
"Crude Oil Production ","Alaska","476","477","502","531","477","500"
"Crude Oil Production ","Lower 48","11,700","11,800","10,201","8,783","11,700","10,112"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,405","16,446","16,486","16,759","16,378","16,654"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,023","1,106","1,153","1,139","1,039","1,115"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,634","3,551","3,864","3,589","3,703","3,902"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,894","8,912","8,597","8,992","8,839","8,760"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","573","600","567","590","578","571"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,282","2,277","2,305","2,450","2,220","2,305"
"Refiner Inputs and Utilization ","Gross Inputs","16,687","16,741","16,792","17,034","16,696","16,931"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,027","1,132","1,161","1,148","1,056","1,126"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,629","3,555","3,864","3,589","3,703","3,898"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,060","9,036","8,745","9,098","9,004","8,882"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","572","598","557","590","577","562"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,399","2,419","2,465","2,609","2,357","2,463"
"Refiner Inputs and Utilization ","Operable Capacity","18,762","18,762","18,567","18,617","18,762","18,567"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,224","1,256","1,224","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,141","4,141","4,071","3,999","4,141","4,071"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,835","9,835","9,752","9,738","9,835","9,752"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","687","687","683","692","687","683"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,875","2,875","2,838","2,933","2,875","2,838"
"Refiner Inputs and Utilization ","Percent Utilization","88.9","89.2","90.4","91.5","89.0","91.2"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","83.9","92.5","94.9","91.4","86.3","92.0"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","87.6","85.9","94.9","89.8","89.4","95.7"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","92.1","91.9","89.7","93.4","91.5","91.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","83.3","87.0","81.5","85.3","83.9","82.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","83.5","84.2","86.9","89.0","82.0","86.8"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","819","642","648","856","922","694"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,302","2,165","2,402","2,255","2,306","2,323"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","337","349","224","469","317","229"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,033","-2,096","-2,049","-2,133","-1,942","-2,002"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-12","-23","-29","-9","-28","-32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","225","246","100","273","269","175"
"Refiner and Blender Net Inputs ","RBOB","494","236","201","215","453","315"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","598","264","464","451","453","449"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","15","50","42","102","44","50"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-284","-189","-376","-432","-204","-299"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","165","112","71","95","159","115"
"Refiner and Blender Net Inputs ","CBOB","-87","-60","-220","95","-111","-248"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,456","1,521","1,416","1,424","1,458","1,419"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","239","300","153","292","261","146"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,794","-1,922","-1,776","-1,684","-1,845","-1,801"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-28","-12","-43","-19","-31","-36"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","41","53","30","81","45","24"
"Refiner and Blender Net Inputs ","GTAB","129","204","164","166","181","139"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","129","204","164","166","181","139"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","283","263","503","379","399","489"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","120","177","358","214","214","317"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","83","-1","29","75","11","34"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","45","16","104","-17","107","98"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","16","-11","13","10","3","4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","19","82","-1","97","65","36"
"Refiner and Blender Net Inputs ","Fuel Ethanol","919","928","923","928","925","919"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","334","337","335","332","338","335"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","241","247","251","254","243","245"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","153","154","150","149","154","150"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","31","28","29","30","28"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","162","159","159","165","160","161"
"Refiner and Blender Net Production ","Finished Motor Gasoline","10,129","9,927","9,974","10,052","9,938","10,027"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,958","9,931","9,926","10,024","9,986","10,010"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,233","3,300","3,281","3,185","3,293","3,229"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,509","2,584","2,596","2,604","2,542","2,560"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,305","2,145","2,187","2,274","2,258","2,329"
