"STUB_1","STUB_2","2/23/18","2/16/18","2/24/17","2/26/16","2/23/18","2/24/17"
"Crude Oil Production ","Domestic Production","10,283","10,270","9,032","9,077","10,269","8,997"
"Crude Oil Production ","Alaska","511","508","517","509","516","516"
"Crude Oil Production ","Lower 48","9,772","9,762","8,515","8,568","9,753","8,481"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,882","15,833","15,664","15,852","16,169","15,572"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","990","935","843","1,131","1,015","958"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,505","3,629","3,617","3,555","3,677","3,633"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,328","8,244","8,427","8,266","8,468","8,160"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","658","666","570","599","655","591"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,400","2,359","2,206","2,300","2,353","2,230"
"Refiner Inputs and Utilization ","Gross Inputs","16,251","16,312","15,886","16,037","16,581","15,858"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,009","945","843","1,125","1,023","959"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,503","3,627","3,621","3,557","3,672","3,635"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,509","8,484","8,470","8,332","8,699","8,257"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","656","664","573","600","653","593"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,575","2,593","2,378","2,423","2,533","2,414"
"Refiner Inputs and Utilization ","Operable Capacity","18,513","18,513","18,474","18,172","18,513","18,474"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,182","1,182","1,278","1,273","1,182","1,278"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,013","4,013","3,957","3,878","4,013","3,957"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,777","9,777","9,620","9,437","9,777","9,620"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","693","693","696","651","693","696"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,848","2,848","2,924","2,933","2,848","2,924"
"Refiner Inputs and Utilization ","Percent Utilization","87.8","88.1","86.0","88.3","89.6","85.8"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","85.3","79.9","66.0","88.4","86.5","75.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","87.3","90.4","91.5","91.7","91.5","91.9"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","87.0","86.8","88.0","88.3","89.0","85.8"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","94.7","95.8","82.4","92.1","94.3","85.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","90.4","91.1","81.3","82.6","88.9","82.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","223","422","322","710","268","333"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,168","2,196","2,158","2,267","2,201","2,118"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","84","126","121","292","81","108"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,112","-1,973","-2,086","-2,078","-2,089","-1,989"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-75","-110","-39","-45","-88","-51"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","158","182","167","274","162","147"
"Refiner and Blender Net Inputs ","RBOB","385","370","605","486","401","480"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","511","449","585","418","504","491"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-31","89","47","89","22","31"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-253","-316","-105","-178","-251","-138"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","158","148","79","157","126","97"
"Refiner and Blender Net Inputs ","CBOB","-311","-353","-386","-50","-335","-221"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,529","1,584","1,436","1,486","1,527","1,463"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","140","77","148","241","111","127"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,923","-1,951","-1,980","-1,824","-1,925","-1,826"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-68","-78","-51","-37","-71","-50"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","10","16","60","83","23","66"
"Refiner and Blender Net Inputs ","GTAB","3","-30","-24","71","27","26"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","3","-30","-24","71","27","26"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","146","434","128","204","175","47"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","124","193","162","292","143","137"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-25","-40","-74","-38","-52","-49"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","64","294","-1","-75","86","-24"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-7","-32","13","-8","-17","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-11","18","28","33","13","-16"
"Refiner and Blender Net Inputs ","Fuel Ethanol","876","885","882","882","878","868"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","320","320","325","321","320","315"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","230","234","234","236","233","232"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","142","143","142","142","141","140"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","28","27","28","29","27"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","155","160","153","156","155","153"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,391","10,107","9,456","9,335","9,793","9,410"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,581","10,016","9,541","9,618","9,798","9,407"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,036","3,074","3,129","3,091","3,068","3,019"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,427","2,503","2,433","2,526","2,462","2,421"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,233","2,499","2,082","2,089","2,371","2,095"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","288","276","295","305","281","288"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,596","1,663","1,601","1,606","1,616","1,585"
"Refiner and Blender Net Production ","Adjustment","-190","91","-85","-283","-4","3"
"Refiner and Blender Net Production ","Reformulated","3,133","3,183","3,148","3,191","3,152","3,119"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,192","1,220","1,249","1,230","1,207","1,202"
"Refiner and Blender Net Production ","Midwest (PADD 2)","348","352","354","375","357","353"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","467","470","458","457","467","460"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,126","1,141","1,087","1,129","1,121","1,104"
