"STUB_1","STUB_2","1/4/13","12/28/12","1/6/12","1/7/11","1/4/13","1/6/12"
"Crude Oil Production ","Domestic Production","7,002","6,985","5,844","5,575","6,959","5,851"
"Crude Oil Production ","Alaska","543","552","587","605","552","594"
"Crude Oil Production ","Lower 48","6,459","6,433","5,257","4,970","6,406","5,257"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,257","15,341","14,937","14,728","15,380","14,721"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,068","940","857","970","980","900"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,471","3,463","3,620","3,274","3,475","3,523"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,916","8,036","7,390","7,660","8,056","7,293"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","611","597","577","517","596","558"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,190","2,306","2,492","2,307","2,273","2,447"
"Refiner Inputs and Utilization ","Gross Inputs","15,496","15,727","15,188","15,208","15,711","15,065"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,083","1,046","859","918","1,060","901"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,410","3,404","3,638","3,312","3,418","3,548"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,068","8,228","7,517","7,925","8,225","7,472"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","611","604","579","518","601","560"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,324","2,445","2,595","2,535","2,407","2,584"
"Refiner Inputs and Utilization ","Operable Capacity","17,395","17,395","17,736","17,594","17,395","17,736"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,293","1,293","1,618","1,397","1,293","1,618"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,720","3,720","3,721","3,728","3,720","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","8,626","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","624","623","624","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,032","3,032","3,128","3,219","3,032","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","89.1","90.4","85.6","86.4","90.3","84.9"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","83.7","80.9","53.1","65.7","82.0","55.7"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","91.7","91.5","97.8","88.8","91.9","95.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","92.5","94.3","87.0","91.9","94.3","86.4"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","97.9","96.9","92.8","83.2","96.3","89.7"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","76.7","80.7","83.0","78.8","79.4","82.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-736","-102","-131","-92","-79","276"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,689","1,830","1,891","1,731","1,865","2,013"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-47","-15","-80","-31","60","20"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,302","-1,980","-1,895","-1,611","-2,075","-1,807"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","2","-9","-22","-21","-7","-17"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-79","72","-26","-159","78","67"
"Refiner and Blender Net Inputs ","RBOB","-78","249","12","160","206","298"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","336","475","487","457","478","530"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","5","-10","-32","20","16","5"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-315","-247","-377","-179","-279","-273"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-104","32","-66","-138","-9","37"
"Refiner and Blender Net Inputs ","CBOB","-510","-397","-201","-167","-265","-126"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,197","1,221","1,191","1,055","1,255","1,262"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-63","-88","-64","-3","-8","22"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,699","-1,584","-1,415","-1,264","-1,582","-1,477"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-15","-26","-15","0","-21","-15"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","70","80","101","45","91","82"
"Refiner and Blender Net Inputs ","GTAB","42","-44","146","117","-2","102"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","42","-44","146","117","-2","102"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","-190","89","-87","-202","-17","2"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","114","179","68","102","134","120"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","11","83","16","-48","53","-7"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-287","-150","-103","-168","-215","-57"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","18","17","-7","-21","14","-2"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-46","-40","-61","-67","-3","-52"
"Refiner and Blender Net Inputs ","Fuel Ethanol","714","778","745","734","791","793"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","269","291","283","286","293","301"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","186","212","194","194","217","211"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","108","117","116","104","120","120"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","23","23","22","17","24","22"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","128","134","131","132","138","139"
"Refiner and Blender Net Production ","Finished Motor Gasoline","8,385","8,917","8,739","8,725","8,934","9,117"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","8,204","8,699","8,601","8,665","8,862","8,966"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,514","2,682","2,555","2,672","2,723","2,739"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,080","2,185","2,191","2,022","2,239","2,272"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,925","2,051","2,181","2,297","2,101","2,200"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","321","321","288","319","317","282"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,364","1,459","1,387","1,355","1,483","1,472"
"Refiner and Blender Net Production ","Adjustment","181","218","138","60","72","151"
"Refiner and Blender Net Production ","Reformulated","2,586","2,845","2,721","2,804","2,876","2,932"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,022","1,159","1,083","1,134","1,140","1,177"
"Refiner and Blender Net Production ","Midwest (PADD 2)","288","324","313","325","343","353"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","340","357","355","368","373","370"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","936","1,005","970","978","1,021","1,032"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,586","2,845","2,721","2,806","2,876","2,932"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,022","1,159","1,083","1,136","1,140","1,177"
"Refiner and Blender Net Production ","Midwest (PADD 2)","288","324","313","325","343","353"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","340","357","355","368","373","370"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","936","1,005","970","978","1,021","1,032"
"Refiner and Blender Net Production ","Other","0","0","0","-2","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","-2","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","5,618","5,854","5,880","5,861","5,986","6,033"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,492","1,524","1,472","1,538","1,582","1,563"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,792","1,861","1,878","1,698","1,896","1,919"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,585","1,694","1,826","1,929","1,729","1,830"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","321","321","288","319","317","282"
"Refiner and Blender Net Production ","West Coast (PADD 5)","427","454","417","377","462","439"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","4,499","4,943","4,724","4,508","5,019","4,999"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,625","1,739","1,748","1,738","1,773","1,835"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,558","1,798","1,619","1,594","1,814","1,749"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","752","832","800","664","839","837"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","236","232","217","169","239","218"
"Refiner and Blender Net Production ","West Coast (PADD 5)","329","342","340","343","354","359"
"Refiner and Blender Net Production ","Ed55 and Lower","4,498","4,942","4,723","4,505","5,018","4,997"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,624","1,739","1,748","1,738","1,773","1,834"
