"STUB_1","STUB_2","8/16/19","8/9/19","8/17/18","8/18/17","8/16/19","8/17/18"
"Crude Oil Production ","Domestic Production","12,300","12,300","11,000","9,528","12,275","10,900"
"Crude Oil Production ","Alaska","339","433","429","446","417","373"
"Crude Oil Production ","Lower 48","12,000","11,900","10,600","9,082","11,875","10,550"
"Refiner Inputs and Utilization ","Crude Oil Inputs","17,702","17,302","17,892","17,461","17,443","17,738"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","844","862","1,080","1,136","883","1,127"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,124","4,092","4,077","3,945","4,075","4,064"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,397","9,114","9,551","9,164","9,213","9,376"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","689","674","591","635","692","607"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,649","2,559","2,592","2,582","2,580","2,564"
"Refiner Inputs and Utilization ","Gross Inputs","18,038","17,826","18,236","17,708","17,866","18,083"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","846","867","1,085","1,138","888","1,133"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,136","4,107","4,078","3,941","4,089","4,062"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,587","9,484","9,708","9,293","9,464","9,543"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","691","678","587","636","695","603"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,777","2,691","2,779","2,699","2,731","2,744"
"Refiner Inputs and Utilization ","Operable Capacity","18,802","18,802","18,599","18,557","18,802","18,599"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,224","1,182","1,224","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,141","4,141","4,092","3,999","4,141","4,092"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,876","9,876","9,762","9,752","9,876","9,762"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","687","687","683","692","687","683"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,875","2,875","2,838","2,933","2,875","2,838"
"Refiner Inputs and Utilization ","Percent Utilization","95.9","94.8","98.1","95.4","95.0","97.2"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","69.1","70.8","88.6","96.3","72.5","92.6"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","99.9","99.2","99.7","98.6","98.7","99.3"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","97.1","96.0","99.4","95.3","95.8","97.8"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","100.7","98.7","85.9","91.9","101.2","88.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","96.6","93.6","97.9","92.0","95.0","96.7"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","737","813","538","761","752","684"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,670","2,624","2,383","2,404","2,626","2,408"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","268","245","269","311","276","269"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,362","-2,249","-2,319","-2,099","-2,310","-2,115"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-25","-30","16","-20","-27","2"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","186","224","189","165","188","121"
"Refiner and Blender Net Inputs ","RBOB","336","300","472","78","261","366"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","485","332","598","496","467","549"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","94","55","81","26","70","60"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-359","-304","-359","-502","-395","-362"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","116","217","153","58","119","119"
