"STUB_1","STUB_2","12/29/23","12/22/23","12/30/22","12/31/21","12/29/23","12/30/22"
"Crude Oil Production ","Domestic Production","13,200","13,300","12,100","11,800","13,225","12,075"
"Crude Oil Production ","Alaska","435","437","453","459","434","450"
"Crude Oil Production ","Lower 48","12,800","12,900","11,600","11,300","12,825","11,625"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,679","16,558","13,820","15,867","16,445","15,518"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","808","734","708","741","776","755"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,962","4,242","3,312","3,894","4,028","3,677"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,104","8,890","7,118","8,607","8,926","8,340"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","587","536","523","555","576","560"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,218","2,155","2,158","2,070","2,140","2,185"
"Refiner Inputs and Utilization ","Gross Inputs","17,082","17,051","14,343","16,281","16,853","15,982"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","811","795","744","746","805","789"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,000","4,278","3,323","3,896","4,058","3,681"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,372","9,169","7,477","8,842","9,175","8,641"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","583","532","519","566","572","557"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,315","2,277","2,281","2,231","2,242","2,313"
"Refiner Inputs and Utilization ","Operable Capacity","18,272","18,272","18,022","18,130","18,272","18,022"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","878","878","878","818","878","878"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,208","4,208","4,197","4,191","4,208","4,197"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,917","9,917","9,625","9,751","9,917","9,625"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","650","650","663","657","650","663"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,620","2,620","2,659","2,714","2,620","2,659"
"Refiner Inputs and Utilization ","Percent Utilization","93.5","93.3","79.6","89.8","92.2","88.7"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","92.4","90.6","84.8","91.2","91.7","89.9"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","95.1","101.7","79.2","93.0","96.4","87.7"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","94.5","92.5","77.7","90.7","92.5","89.8"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","89.7","81.8","78.2","86.2","88.0","84.1"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","88.4","86.9","85.8","82.2","85.6","87.0"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-870","233","435","-827","-53","283"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,162","2,469","2,135","1,957","2,354","2,336"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-376","-162","114","-344","-183","127"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,645","-2,094","-1,722","-2,346","-2,280","-2,209"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","46","61","7","-30","43","5"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-56","-41","-99","-63","14","24"
"Refiner and Blender Net Inputs ","RBOB","156","680","410","78","461","466"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","375","658","406","326","462","437"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","70","24","69","43","64","73"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-238","-67","-54","-213","-126","-74"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","54","60","0","0","54","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-105","6","-11","-77","7","30"
"Refiner and Blender Net Inputs ","CBOB","-975","-411","-62","-903","-466","-205"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,591","1,610","1,520","1,498","1,650","1,656"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-383","-198","-42","-417","-206","28"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,173","-1,833","-1,494","-1,969","-1,937","-1,884"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-15","8","12","-21","-9","11"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","4","2","-58","7","37","-17"
"Refiner and Blender Net Inputs ","GTAB","84","9","60","32","43","82"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","84","9","60","32","43","82"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
