"STUB_1","STUB_2","7/1/22","6/24/22","7/2/21","7/3/20","7/1/22","7/2/21"
"Crude Oil Production ","Domestic Production","12,100","12,100","11,300","11,000","12,050","11,175"
"Crude Oil Production ","Alaska","406","429","438","399","419","444"
"Crude Oil Production ","Lower 48","11,700","11,700","10,900","10,600","11,650","10,775"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,438","16,666","16,115","14,347","16,422","16,216"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","782","787","703","593","787","707"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,007","4,004","4,125","3,459","3,986","4,080"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,003","9,174","8,509","7,860","8,954","8,648"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","616","619","561","585","607","553"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,030","2,081","2,218","1,850","2,088","2,228"
"Refiner Inputs and Utilization ","Gross Inputs","16,958","17,042","16,670","14,698","16,917","16,723"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","812","802","729","634","805","726"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,972","3,970","4,137","3,483","3,951","4,093"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,379","9,401","8,866","8,057","9,308","8,970"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","617","620","560","590","607","551"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,179","2,248","2,378","1,933","2,246","2,384"
"Refiner Inputs and Utilization ","Operable Capacity","17,944","17,944","18,090","18,976","17,944","18,090"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","818","1,224","818","818"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,197","4,197","4,188","4,196","4,197","4,188"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,607","9,607","9,713","9,983","9,607","9,713"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","663","663","657","698","663","657"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,659","2,659","2,714","2,875","2,659","2,714"
"Refiner Inputs and Utilization ","Percent Utilization","94.5","95.0","92.2","77.5","94.3","92.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","99.2","98.1","89.1","51.8","98.4","88.7"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.6","94.6","98.8","83.0","94.1","97.7"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","97.6","97.9","91.3","80.7","96.9","92.3"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","93.0","93.5","85.3","84.5","91.6","83.9"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","81.9","84.5","87.6","67.3","84.4","87.8"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","714","529","1,226","1,029","650","920"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,492","2,454","2,538","2,257","2,489","2,485"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","234","268","255","392","264","209"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,210","-2,327","-1,751","-1,731","-2,249","-1,948"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","24","16","10","-37","23","30"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","175","119","174","148","124","144"
"Refiner and Blender Net Inputs ","RBOB","237","106","493","271","188","291"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","623","387","649","486","493","543"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","36","64","96","60","45","63"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-539","-435","-268","-364","-434","-354"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","116","91","16","89","84","39"
"Refiner and Blender Net Inputs ","CBOB","306","260","261","237","253","205"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,581","1,542","1,592","1,320","1,583","1,578"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","289","173","173","286","228","164"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,580","-1,506","-1,616","-1,395","-1,611","-1,641"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","14","12","10","-32","20","33"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","2","38","102","57","32","72"
"Refiner and Blender Net Inputs ","GTAB","80","127","61","279","128","121"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","80","127","61","279","128","121"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","91","36","411","241","82","303"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","208","397","235","172","285","242"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-91","30","-13","45","-9","-18"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-92","-387","133","28","-205","47"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","10","4","0","-5","3","-3"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","57","-10","57","2","8","34"
"Refiner and Blender Net Inputs ","Fuel Ethanol","904","908","949","850","904","930"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","325","327","341","304","326","334"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","251","251","257","237","248","255"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","146","149","155","138","149","152"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","32","32","34","29","32","32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","150","148","161","142","150","157"
"Refiner and Blender Net Production ","Finished Motor Gasoline","10,346","9,497","10,554","9,045","9,804","10,096"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,899","9,877","10,166","9,017","9,806","10,080"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,182","3,196","3,290","2,939","3,197","3,237"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,573","2,574","2,648","2,483","2,540","2,633"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,301","2,292","2,287","1,903","2,247","2,331"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","371","367","352","288","362","339"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,471","1,449","1,589","1,404","1,460","1,539"
"Refiner and Blender Net Production ","Adjustment","447","-381","388","28","-2","16"
"Refiner and Blender Net Production ","Reformulated","2,965","2,961","3,184","2,790","2,973","3,135"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,164","1,163","1,253","1,108","1,170","1,239"
"Refiner and Blender Net Production ","Midwest (PADD 2)","330","333","349","321","325","360"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","452","459","464","398","460","449"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,018","1,007","1,118","962","1,018","1,087"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,965","2,960","3,184","2,790","2,972","3,135"
