"STUB_1","STUB_2","5/25/12","5/18/12","5/27/11","5/28/10","5/25/12","5/27/11"
"Crude Oil Production ","Domestic Production","6,227","6,239","5,609","5,320","6,188","5,605"
"Crude Oil Production ","Alaska","534","546","563","448","548","579"
"Crude Oil Production ","Lower 48","5,693","5,693","5,046","4,872","5,640","5,026"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,169","14,987","14,851","15,105","14,986","14,537"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","923","823","1,163","1,216","932","1,138"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,496","3,478","3,372","3,390","3,442","3,290"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,661","7,754","7,533","7,512","7,708","7,344"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","558","513","554","548","521","529"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,532","2,418","2,229","2,439","2,382","2,237"
"Refiner Inputs and Utilization ","Gross Inputs","15,424","15,255","15,212","15,386","15,231","14,919"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","926","824","1,160","1,222","934","1,139"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,471","3,517","3,396","3,409","3,453","3,303"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,823","7,856","7,713","7,717","7,809","7,522"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","563","520","558","550","525","531"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,642","2,538","2,385","2,488","2,510","2,425"
"Refiner Inputs and Utilization ","Operable Capacity","17,312","17,312","17,698","17,584","17,312","17,698"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,188","1,188","1,580","–","1,188","1,580"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,663","3,663","3,721","–","3,663","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","–","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","623","623","624","–","623","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,113","3,113","3,128","–","3,113","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","89.1","88.1","86.0","87.5","88.0","84.3"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","77.9","69.4","73.4","–","78.6","72.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.8","96.0","91.3","–","94.3","88.8"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","89.7","90.0","89.2","–","89.5","87.0"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","90.3","83.6","89.4","–","84.3","85.0"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","84.9","81.5","76.3","–","80.6","77.5"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","577","920","918","777","720","877"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,182","2,179","2,037","–","2,147","1,971"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","121","242","307","–","169","219"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,819","-1,782","-1,599","–","-1,852","-1,495"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-19","17","0","–","1","-7"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","112","263","174","–","255","189"
"Refiner and Blender Net Inputs ","RBOB","374","268","250","–","320","284"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","528","465","422","–","493","446"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","95","129","103","–","63","44"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-286","-400","-320","–","-328","-319"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","37","75","45","–","92","113"
"Refiner and Blender Net Inputs ","CBOB","-140","-46","119","–","-123","153"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,304","1,290","1,145","–","1,305","1,150"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","67","54","176","–","63","148"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,584","-1,574","-1,235","–","-1,591","-1,181"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-22","0","-8","–","-12","-4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","95","184","41","–","113","41"
"Refiner and Blender Net Inputs ","GTAB","73","44","120","–","45","110"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","73","44","114","–","45","108"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","6","–","0","1"
"Refiner and Blender Net Inputs ","All Other Blending Components","270","654","428","–","477","330"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","276","379","355","–","304","267"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-41","60","27","–","43","27"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","51","192","-44","–","68","5"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","3","17","8","–","14","-3"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-19","5","83","–","49","34"
"Refiner and Blender Net Inputs ","Fuel Ethanol","857","841","822","–","841","807"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","320","317","311","–","315","305"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","238","230","223","–","231","216"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","127","127","123","–","126","122"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","24","24","18","–","23","18"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","148","144","148","–","145","146"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,153","8,945","9,433","9,160","9,071","9,175"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","9,023","9,007","9,575","9,160","8,926","9,256"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,008","3,028","3,092","2,688","2,972","3,000"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,206","2,284","2,265","2,167","2,185","2,192"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,994","1,843","2,363","2,514","1,943","2,261"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","262","276","300","323","271","276"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,554","1,576","1,554","1,468","1,556","1,527"
"Refiner and Blender Net Production ","Adjustment","130","-62","-142","–","145","-82"
"Refiner and Blender Net Production ","Reformulated","3,117","3,060","3,083","3,094","3,046","3,024"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,215","1,217","1,206","1,292","1,201","1,167"
"Refiner and Blender Net Production ","Midwest (PADD 2)","374","361","362","372","355","346"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","426","416","433","427","413","434"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,102","1,066","1,082","1,003","1,077","1,077"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","3,104","3,045","3,059","3,067","3,033","3,002"
