"STUB_1","STUB_2","3/9/12","3/2/12","3/11/11","3/12/10","3/9/12","3/11/11"
"Crude Oil Production ","Domestic Production","5,830","5,806","5,591","5,540","5,817","5,595"
"Crude Oil Production ","Alaska","569","571","615","657","575","605"
"Crude Oil Production ","Lower 48","5,261","5,235","4,976","4,883","5,242","4,990"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,463","14,589","14,182","13,940","14,637","13,865"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","938","923","1,075","982","927","1,005"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,486","3,410","3,153","3,223","3,485","3,215"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,121","7,407","6,966","6,979","7,345","6,752"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","573","578","543","477","571","546"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,345","2,271","2,444","2,279","2,310","2,346"
"Refiner Inputs and Utilization ","Gross Inputs","14,657","14,868","14,671","14,247","14,877","14,325"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","944","936","1,071","1,010","939","989"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,498","3,420","3,189","3,232","3,499","3,253"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,153","7,502","7,237","7,085","7,409","6,988"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","577","579","544","481","575","548"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,484","2,432","2,630","2,439","2,455","2,547"
"Refiner Inputs and Utilization ","Operable Capacity","17,730","17,730","17,594","17,688","17,730","17,594"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,618","1,618","1,397","–","1,618","1,397"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,721","3,721","3,728","–","3,721","3,728"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,640","8,640","8,626","–","8,640","8,626"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","623","–","624","623"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,128","3,128","3,219","–","3,128","3,219"
"Refiner Inputs and Utilization ","Percent Utilization","82.7","83.9","83.4","80.6","83.9","81.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","58.4","57.8","76.7","–","58.0","70.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.0","91.9","85.5","–","94.0","87.3"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","82.8","86.8","83.9","–","85.8","81.0"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","92.5","92.8","87.3","–","92.1","88.0"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","79.4","77.8","81.7","–","78.5","79.1"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","501","434","1,048","772","485","1,031"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,012","2,024","1,994","–","1,996","2,006"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","66","-49","231","–","-3","210"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,797","-1,722","-1,333","–","-1,720","-1,365"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","5","1","-2","–","-1","1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","214","179","157","–","214","179"
"Refiner and Blender Net Inputs ","RBOB","354","307","315","–","277","394"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","455","374","383","–","374","399"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","27","44","82","–","30","51"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-220","-223","-231","–","-239","-190"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","–","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","92","111","81","–","111","133"
"Refiner and Blender Net Inputs ","CBOB","-43","-130","492","–","-32","439"
