"STUB_1","STUB_2","8/31/18","8/24/18","9/1/17","9/2/16","8/31/18","9/1/17"
"Crude Oil Production ","Domestic Production","11,000","11,000","8,781","8,458","10,975","9,335"
"Crude Oil Production ","Alaska","446","462","494","428","433","458"
"Crude Oil Production ","Lower 48","10,600","10,500","8,287","8,030","10,550","8,877"
"Refiner Inputs and Utilization ","Crude Oil Inputs","17,647","17,566","14,472","16,930","17,772","16,806"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,077","1,073","1,138","1,155","1,090","1,131"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,010","4,087","4,068","3,867","4,055","3,994"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,340","9,185","6,026","8,745","9,431","8,451"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","614","605","680","618","599","658"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,606","2,616","2,561","2,545","2,596","2,571"
"Refiner Inputs and Utilization ","Gross Inputs","17,963","17,919","14,782","17,280","18,090","17,064"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,085","1,080","1,142","1,145","1,097","1,135"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,012","4,090","4,064","3,872","4,056","3,991"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,484","9,352","6,178","8,939","9,569","8,571"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","617","603","680","625","597","659"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,765","2,794","2,718","2,698","2,770","2,707"
"Refiner Inputs and Utilization ","Operable Capacity","18,599","18,599","18,557","18,436","18,599","18,557"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,182","1,278","1,224","1,182"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,092","4,092","3,999","3,934","4,092","3,999"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,762","9,762","9,752","9,605","9,762","9,752"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","683","683","692","696","683","692"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,838","2,838","2,933","2,924","2,838","2,933"
"Refiner Inputs and Utilization ","Percent Utilization","96.6","96.3","79.7","93.7","97.3","92.0"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","88.6","88.2","96.6","89.6","89.6","96.0"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","98.0","100.0","101.6","98.4","99.1","99.8"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","97.2","95.8","63.4","93.1","98.0","87.9"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","90.3","88.3","98.3","89.8","87.5","95.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","97.4","98.4","92.7","92.3","97.6","92.3"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","616","639","980","1,039","592","718"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,496","2,398","2,414","2,528","2,432","2,392"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","240","263","285","257","263","321"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,181","-2,194","-1,743","-1,902","-2,237","-2,096"
