"STUB_1","STUB_2","7/6/12","6/29/12","7/8/11","7/9/10","7/6/12","7/8/11"
"Crude Oil Production ","Domestic Production","6,249","6,094","5,578","5,352","6,238","5,585"
"Crude Oil Production ","Alaska","449","483","504","522","486","525"
"Crude Oil Production ","Lower 48","5,800","5,611","5,074","4,830","5,753","5,060"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,774","15,631","15,218","15,469","15,665","15,265"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","962","965","1,295","1,204","976","1,214"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,437","3,452","3,261","3,493","3,448","3,413"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,141","8,018","7,573","7,712","8,009","7,575"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","597","604","537","586","604","560"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,637","2,593","2,552","2,473","2,627","2,503"
"Refiner Inputs and Utilization ","Gross Inputs","15,972","15,850","15,607","15,918","15,903","15,657"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","967","966","1,308","1,217","979","1,213"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,398","3,410","3,272","3,542","3,410","3,431"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,217","8,115","7,776","7,890","8,130","7,803"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","603","608","540","590","608","563"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,787","2,750","2,711","2,680","2,776","2,647"
"Refiner Inputs and Utilization ","Operable Capacity","17,230","17,230","17,736","17,588","17,230","17,708"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,188","1,188","1,618","1,397","1,188","1,590"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,665","3,665","3,721","3,723","3,665","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","8,625","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","624","623","624","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,028","3,028","3,128","3,219","3,028","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","92.7","92.0","88.0","90.5","92.3","88.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","81.4","81.4","80.8","87.1","82.4","76.3"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","92.7","93.0","87.9","95.1","93.0","92.2"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","94.2","93.0","89.9","91.5","93.2","90.2"
