"STUB_1","STUB_2","10/15/21","10/8/21","10/16/20","10/18/19","10/15/21","10/16/20"
"Crude Oil Production ","Domestic Production","11,300","11,400","9,900","12,600","11,275","10,525"
"Crude Oil Production ","Alaska","431","452","464","485","442","454"
"Crude Oil Production ","Lower 48","10,900","10,900","9,400","12,100","10,850","10,050"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,990","15,061","13,026","15,865","15,302","13,531"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","627","622","557","735","663","557"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,735","3,648","3,437","3,551","3,796","3,516"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,863","8,030","6,633","8,521","8,090","6,978"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","553","546","527","586","580","552"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,212","2,215","1,871","2,472","2,173","1,929"
"Refiner Inputs and Utilization ","Gross Inputs","15,357","15,715","13,583","16,012","15,821","14,013"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","633","624","581","738","682","579"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,736","3,659","3,438","3,487","3,809","3,524"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,086","8,530","6,965","8,725","8,419","7,232"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","551","546","535","588","581","559"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,350","2,355","2,064","2,474","2,331","2,118"
"Refiner Inputs and Utilization ","Operable Capacity","18,129","18,129","18,622","18,802","18,129","18,622"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","889","1,224","818","889"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,190","4,190","4,177","4,141","4,189","4,177"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,751","9,751","9,983","9,876","9,751","9,983"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","657","657","698","687","657","698"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,714","2,714","2,875","2,875","2,714","2,875"
"Refiner Inputs and Utilization ","Percent Utilization","84.7","86.7","72.9","85.2","87.3","75.2"
