"STUB_1","STUB_2","5/6/22","4/29/22","5/7/21","5/8/20","5/6/22","5/7/21"
"Crude Oil Production ","Domestic Production","11,800","11,900","11,000","11,600","11,875","10,950"
"Crude Oil Production ","Alaska","447","453","451","438","444","449"
"Crude Oil Production ","Lower 48","11,400","11,400","10,500","11,200","11,450","10,500"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,696","15,466","15,020","12,383","15,641","15,012"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","741","729","634","562","707","617"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,714","3,639","3,541","2,939","3,741","3,461"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,698","8,660","8,201","6,798","8,673","8,339"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","501","508","544","478","524","528"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,042","1,930","2,101","1,606","1,996","2,067"
"Refiner Inputs and Utilization ","Gross Inputs","16,147","15,867","15,572","12,883","16,135","15,545"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","744","742","649","588","716","623"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,694","3,628","3,548","2,950","3,724","3,469"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,018","8,873","8,575","7,165","9,011","8,687"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","502","506","539","493","523","526"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,189","2,118","2,261","1,688","2,161","2,240"
"Refiner Inputs and Utilization ","Operable Capacity","17,941","17,941","18,090","18,976","17,941","18,130"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","818","1,224","818","818"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,197","4,197","4,188","4,196","4,197","4,188"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,607","9,607","9,713","9,983","9,607","9,753"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","660","660","657","698","660","657"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,659","2,659","2,714","2,875","2,659","2,714"
"Refiner Inputs and Utilization ","Percent Utilization","90.0","88.4","86.1","67.9","89.9","85.7"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","91.0","90.7","79.3","48.0","87.5","76.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","88.0","86.4","84.7","70.3","88.7","82.8"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","93.9","92.4","88.3","71.8","93.8","89.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","76.0","76.6","82.1","70.6","79.2","80.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","82.3","79.6","83.3","58.7","81.3","82.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","1,241","1,496","804","472","992","961"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,534","2,573","2,423","1,714","2,473","2,384"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","232","276","386","247","232","337"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,855","-1,749","-2,135","-1,588","-2,026","-1,940"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","62","48","-7","-14","42","-9"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","268","348","137","113","269","190"
"Refiner and Blender Net Inputs ","RBOB","371","467","466","181","395","435"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","491","567","603","255","526","528"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","60","22","104","26","65","81"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-351","-272","-315","-187","-349","-246"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","171","150","74","87","153","72"
"Refiner and Blender Net Inputs ","CBOB","395","356","31","114","292","173"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,563","1,628","1,403","1,181","1,589","1,436"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","205","161","238","211","168","224"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,489","-1,569","-1,646","-1,309","-1,572","-1,563"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","48","44","-13","-11","35","-19"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","69","91","50","41","72","95"
"Refiner and Blender Net Inputs ","GTAB","127","68","108","37","99","155"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","127","68","108","37","99","155"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","348","605","199","140","206","198"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","353","311","310","240","259","266"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-33","93","44","10","0","32"
