"STUB_1","STUB_2","11/15/13","11/8/13","11/16/12","11/18/11","11/15/13","11/16/12"
"Crude Oil Production ","Domestic Production","7,974","7,981","6,710","5,887","7,917","6,691"
"Crude Oil Production ","Alaska","532","539","548","585","528","549"
"Crude Oil Production ","Lower 48","7,442","7,442","6,162","5,302","7,389","6,142"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,447","15,411","14,889","14,796","15,245","14,755"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","928","933","800","1,098","923","834"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,522","3,543","3,271","3,397","3,530","3,310"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,069","7,936","7,990","7,446","7,793","7,837"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","575","576","562","583","573","526"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,353","2,423","2,265","2,272","2,426","2,248"
"Refiner Inputs and Utilization ","Gross Inputs","15,782","15,801","15,200","15,170","15,649","15,060"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","935","934","873","1,099","929","884"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,526","3,547","3,232","3,416","3,533","3,281"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,234","8,139","8,145","7,648","8,008","7,990"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","582","580","566","582","578","530"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,505","2,601","2,383","2,425","2,601","2,375"
"Refiner Inputs and Utilization ","Operable Capacity","17,815","17,815","17,380","17,736","17,815","17,380"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,294","1,294","1,293","1,618","1,294","1,293"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,769","3,769","3,710","3,721","3,769","3,710"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,093","9,093","8,725","8,646","9,093","8,725"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","630","630","624","624","630","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,029","3,029","3,028","3,128","3,029","3,028"
"Refiner Inputs and Utilization ","Percent Utilization","88.6","88.7","87.5","85.5","87.8","86.7"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","72.3","72.2","67.5","67.9","71.8","68.3"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","93.5","94.1","87.1","91.8","93.7","88.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","90.6","89.5","93.4","88.5","88.1","91.6"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","92.5","92.1","90.8","93.3","91.8","85.0"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","82.7","85.9","78.7","77.5","85.9","78.4"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","783","676","382","467","606","318"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,155","2,228","2,110","2,019","2,182","2,085"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","465","315","106","102","340","160"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,973","-2,029","-1,868","-1,789","-2,045","-1,985"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","7","25","-16","-18","8","-2"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","129","137","49","153","121","61"
"Refiner and Blender Net Inputs ","RBOB","434","522","395","257","460","368"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","680","673","639","416","645","575"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","10","38","17","12","36","65"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-212","-288","-254","-190","-274","-297"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-45","98","-8","19","52","25"
"Refiner and Blender Net Inputs ","CBOB","38","63","-307","-165","-9","-190"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,360","1,383","1,199","1,226","1,354","1,328"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","298","186","45","29","217","50"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,756","-1,589","-1,612","-1,510","-1,672","-1,635"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","5","0","-37","-19","-6","-9"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","131","82","97","108","97","77"
"Refiner and Blender Net Inputs ","GTAB","-6","9","73","187","16","54"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","-6","9","73","187","16","54"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","318","81","222","188","139","86"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","121","162","200","189","167","128"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","157","90","43","61","87","45"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-5","-152","-2","-89","-99","-53"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","2","24","21","1","14","7"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","43","-42","-41","26","-29","-41"
"Refiner and Blender Net Inputs ","Fuel Ethanol","853","874","811","815","864","822"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","309","324","299","308","317","302"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","240","238","222","222","241","225"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","132","137","125","121","133","128"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","25","24","21","21","25","22"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","147","151","144","144","149","146"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,268","9,434","9,189","9,470","9,122","9,097"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","9,552","9,496","9,001","9,256","9,313","8,973"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,854","2,955","2,858","2,931","2,905","2,832"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,573","2,506","2,179","2,307","2,437","2,187"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,159","2,096","2,178","2,160","2,052","2,132"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","325","334","283","283","319","269"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,642","1,606","1,504","1,575","1,602","1,553"
"Refiner and Blender Net Production ","Adjustment","-284","-62","188","214","-191","124"
"Refiner and Blender Net Production ","Reformulated","3,043","3,098","3,009","3,006","3,064","2,983"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,200","1,218","1,197","1,179","1,207","1,143"
"Refiner and Blender Net Production ","Midwest (PADD 2)","376","374","356","372","374","361"
