"STUB_1","STUB_2","2/15/13","2/8/13","2/17/12","2/18/11","2/15/13","2/17/12"
"Crude Oil Production ","Domestic Production","7,118","7,064","5,817","5,604","7,043","5,780"
"Crude Oil Production ","Alaska","550","557","582","609","551","588"
"Crude Oil Production ","Lower 48","6,568","6,507","5,235","4,995","6,492","5,192"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,176","14,310","14,889","13,535","14,350","14,556"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","834","937","920","947","957","898"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,362","3,291","3,557","3,258","3,337","3,464"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,071","7,234","7,502","6,561","7,242","7,278"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","591","564","569","537","569","575"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,318","2,284","2,341","2,233","2,245","2,339"
"Refiner Inputs and Utilization ","Gross Inputs","14,422","14,592","15,157","13,960","14,612","14,811"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","935","982","932","926","1,010","902"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,295","3,224","3,573","3,297","3,275","3,479"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,140","7,401","7,591","6,778","7,372","7,392"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","591","569","576","538","572","577"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,460","2,417","2,485","2,422","2,382","2,460"
"Refiner Inputs and Utilization ","Operable Capacity","17,405","17,405","17,730","17,594","17,403","17,732"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,293","1,293","1,618","1,397","1,293","1,618"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,723","3,723","3,721","3,728","3,723","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,731","8,731","8,640","8,626","8,729","8,642"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","625","625","624","623","625","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,032","3,032","3,128","3,219","3,032","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","82.9","83.8","85.5","79.4","84.0","83.5"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","72.3","75.9","57.6","66.3","78.1","55.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","88.5","86.6","96.0","88.4","88.0","93.5"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","81.8","84.8","87.9","78.6","84.5","85.5"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","94.6","91.1","92.3","86.4","91.6","92.5"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","81.1","79.7","79.5","75.2","78.6","78.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","571","495","399","909","476","421"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,921","1,929","1,935","1,935","1,879","1,951"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-12","24","-38","213","23","15"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,634","-1,706","-1,671","-1,381","-1,686","-1,686"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","7","-5","-7","1","3","-11"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","291","252","181","142","257","152"
"Refiner and Blender Net Inputs ","RBOB","387","375","251","400","364","248"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","412","530","324","418","475","395"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","2","24","42","47","8","17"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-184","-289","-225","-136","-248","-241"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","157","110","110","71","130","76"
"Refiner and Blender Net Inputs ","CBOB","11","-35","-40","362","16","-10"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,404","1,201","1,307","1,358","1,301","1,248"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","6","8","-85","131","11","-17"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,519","-1,317","-1,339","-1,160","-1,378","-1,305"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-6","-9","-14","12","-8","-19"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","125","82","91","21","91","83"
"Refiner and Blender Net Inputs ","GTAB","102","-3","151","58","36","142"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","102","-3","151","58","36","138"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","4"
"Refiner and Blender Net Inputs ","All Other Blending Components","71","159","37","89","59","41"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","3","201","153","100","68","170"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-20","-7","5","35","4","15"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","68","-100","-108","-85","-60","-141"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","13","4","6","-11","11","8"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","8","60","-19","50","37","-11"
"Refiner and Blender Net Inputs ","Fuel Ethanol","801","791","813","823","788","791"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","293","296","304","313","290","298"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","220","213","222","229","215","213"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","123","121","123","117","120","118"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","22","23","22","19","23","21"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","142","138","142","146","140","141"
"Refiner and Blender Net Production ","Finished Motor Gasoline","8,936","8,896","8,975","9,143","8,914","8,738"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","8,647","8,653","8,637","8,961","8,751","8,566"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,731","2,735","2,729","2,884","2,714","2,717"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,093","2,050","2,189","2,256","2,104","2,175"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,012","2,098","1,899","1,988","2,140","1,892"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","315","296","303","330","309","289"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,496","1,474","1,516","1,504","1,484","1,493"
"Refiner and Blender Net Production ","Adjustment","289","243","338","182","163","172"
"Refiner and Blender Net Production ","Reformulated","2,867","2,936","2,981","3,071","2,888","2,941"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,077","1,195","1,159","1,223","1,128","1,152"
"Refiner and Blender Net Production ","Midwest (PADD 2)","355","351","374","361","351","355"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","384","376","383","391","377","378"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,051","1,015","1,063","1,097","1,031","1,056"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,867","2,936","2,981","3,072","2,888","2,937"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,077","1,195","1,159","1,224","1,128","1,152"
"Refiner and Blender Net Production ","Midwest (PADD 2)","355","351","374","361","351","355"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","384","376","383","391","377","374"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,051","1,015","1,063","1,097","1,031","1,056"
"Refiner and Blender Net Production ","Other","0","0","0","-1","0","4"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","-1","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","4"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","5,780","5,717","5,656","5,890","5,864","5,626"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,654","1,540","1,570","1,662","1,586","1,565"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,738","1,699","1,815","1,895","1,752","1,820"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,629","1,722","1,515","1,597","1,763","1,515"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","315","296","303","330","309","289"
"Refiner and Blender Net Production ","West Coast (PADD 5)","445","459","453","407","453","437"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","5,152","5,007","5,188","4,960","5,013","4,996"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,852","1,772","1,899","1,878","1,778","1,837"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,845","1,787","1,851","1,793","1,802","1,771"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","855","849","863","742","832","821"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","226","232","214","184","232","209"
"Refiner and Blender Net Production ","West Coast (PADD 5)","373","368","361","364","369","358"
"Refiner and Blender Net Production ","Ed55 and Lower","5,150","5,006","5,187","4,959","5,012","4,995"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,852","1,772","1,899","1,878","1,778","1,837"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,844","1,786","1,850","1,792","1,802","1,771"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","855","848","863","742","832","821"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","226","232","214","184","232","209"
"Refiner and Blender Net Production ","West Coast (PADD 5)","373","368","361","363","368","358"
"Refiner and Blender Net Production ","Greater than Ed55","2","1","1","1","1","1"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1","0","1","1","1","1"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Other","629","710","468","930","851","629"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-199","-232","-329","-216","-193","-272"
"Refiner and Blender Net Production ","Midwest (PADD 2)","-107","-87","-37","102","-50","49"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","774","873","652","856","931","693"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","90","65","90","146","77","80"
"Refiner and Blender Net Production ","West Coast (PADD 5)","72","91","92","43","85","79"
"Refiner and Blender Net Production ","Kerosene-Type Jet Fuel","1,443","1,436","1,443","1,371","1,416","1,399"
"Refiner and Blender Net Production ","East Coast (PADD 1)","70","83","38","83","75","44"
"Refiner and Blender Net Production ","Midwest (PADD 2)","211","210","237","223","217","218"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","746","740","716","627","729","681"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","20","21","26","30","23","23"
"Refiner and Blender Net Production ","West Coast (PADD 5)","396","382","426","408","374","433"
"Refiner and Blender Net Production ","Commercial","1,309","1,337","1,345","1,270","1,302","1,296"
"Refiner and Blender Net Production ","East Coast (PADD 1)","70","83","38","83","75","44"
"Refiner and Blender Net Production ","Midwest (PADD 2)","201","190","216","212","203","207"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","669","674","685","580","656","631"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","18","17","23","24","19","20"
"Refiner and Blender Net Production ","West Coast (PADD 5)","350","373","382","372","349","394"
"Refiner and Blender Net Production ","Military","135","99","98","100","115","103"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
