"STUB_1","STUB_2","4/28/23","4/21/23","4/29/22","4/30/21","4/28/23","4/29/22"
"Crude Oil Production ","Domestic Production","12,300","12,200","11,900","10,900","12,275","11,875"
"Crude Oil Production ","Alaska","442","441","453","457","437","443"
"Crude Oil Production ","Lower 48","11,900","11,800","11,400","10,400","11,875","11,450"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,735","15,833","15,466","15,243","15,749","15,598"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","784","791","729","648","781","679"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,571","3,577","3,639","3,463","3,599","3,733"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,989","8,788","8,660","8,542","8,794","8,666"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","445","545","508","539","531","529"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","1,945","2,132","1,930","2,051","2,045","1,991"
"Refiner Inputs and Utilization ","Gross Inputs","16,378","16,483","15,867","15,698","16,359","16,136"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","822","808","742","648","803","696"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,616","3,600","3,628","3,471","3,620","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,355","9,235","8,873","8,811","9,197","9,017"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","446","545","506","536","530","527"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,139","2,296","2,118","2,233","2,208","2,175"
"Refiner Inputs and Utilization ","Operable Capacity","18,061","18,061","17,941","18,143","18,061","17,941"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","878","878","818","818","878","818"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,206","4,206","4,197","4,188","4,206","4,197"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,677","9,677","9,607","9,767","9,677","9,607"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","650","650","660","657","650","660"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,651","2,651","2,659","2,714","2,651","2,659"
"Refiner Inputs and Utilization ","Percent Utilization","90.7","91.3","88.4","86.5","90.6","89.9"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","93.6","92.0","90.7","79.3","91.5","85.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","86.0","85.6","86.4","82.9","86.1","88.7"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","96.7","95.4","92.4","90.2","95.0","93.9"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","68.7","83.8","76.6","81.6","81.6","79.9"
