"STUB_1","STUB_2","1/10/14","1/3/14","1/11/13","1/13/12","1/10/14","1/11/13"
"Crude Oil Production ","Domestic Production","8,159","8,145","7,041","5,726","8,134","7,003"
"Crude Oil Production ","Alaska","550","551","547","598","549","548"
"Crude Oil Production ","Lower 48","7,609","7,594","6,494","5,128","7,585","6,455"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,731","16,134","15,101","14,585","16,086","15,257"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","970","1,097","1,102","899","1,053","1,017"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,473","3,539","3,451","3,424","3,531","3,467"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,260","8,503","7,647","7,271","8,479","7,899"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","588","585","595","572","567","596"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,441","2,411","2,305","2,419","2,456","2,278"
"Refiner Inputs and Utilization ","Gross Inputs","16,035","16,449","15,292","14,838","16,364","15,555"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","979","1,101","1,101","900","1,058","1,076"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,477","3,550","3,390","3,445","3,536","3,405"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,340","8,574","7,758","7,343","8,544","8,059"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","592","587","598","577","571","601"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,648","2,637","2,445","2,574","2,655","2,414"
"Refiner Inputs and Utilization ","Operable Capacity","17,818","17,818","17,400","17,736","17,818","17,396"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,297","1,297","1,293","1,618","1,297","1,293"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,769","3,769","3,723","3,721","3,769","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,093","9,093","8,727","8,646","9,093","8,726"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","630","630","624","624","630","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,029","3,029","3,032","3,128","3,029","3,032"
"Refiner Inputs and Utilization ","Percent Utilization","90.0","92.3","87.9","83.7","91.8","89.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","75.5","84.9","85.1","55.6","81.6","83.2"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","92.3","94.2","91.1","92.6","93.8","91.5"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","91.7","94.3","88.9","84.9","94.0","92.4"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","94.0","93.2","95.8","92.5","90.6","96.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","87.4","87.1","80.7","82.3","87.6","79.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-135","-510","-194","184","-28","-157"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,786","1,749","1,923","1,849","1,873","1,868"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","205","81","28","-34","204","37"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,085","-2,276","-2,160","-1,610","-2,151","-2,082"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","25","25","19","-20","28","4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-67","-89","-5","-2","18","14"
"Refiner and Blender Net Inputs ","RBOB","158","22","121","44","242","163"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","455","481","488","305","490","481"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-17","-5","-26","-26","17","1"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-194","-302","-291","-230","-224","-285"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-85","-152","-50","-5","-41","-35"
