"STUB_1","STUB_2","7/2/21","6/25/21","7/3/20","7/5/19","7/2/21","7/3/20"
"Crude Oil Production ","Domestic Production","11,300","11,100","11,000","12,300","11,175","10,875"
"Crude Oil Production ","Alaska","438","448","399","426","444","371"
"Crude Oil Production ","Lower 48","10,900","10,700","10,600","11,900","10,775","10,475"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,115","16,299","14,347","17,438","16,216","13,955"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","703","690","593","847","707","586"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,125","4,099","3,459","4,039","4,080","3,360"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,509","8,699","7,860","9,356","8,648","7,658"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","561","574","585","668","553","581"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,218","2,236","1,850","2,528","2,228","1,770"
"Refiner Inputs and Utilization ","Gross Inputs","16,670","16,800","14,698","17,808","16,723","14,295"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","729","716","634","850","726","616"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,137","4,113","3,483","4,052","4,093","3,382"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,866","9,002","8,057","9,532","8,970","7,861"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","560","574","590","671","551","587"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,378","2,395","1,933","2,702","2,384","1,849"
"Refiner Inputs and Utilization ","Operable Capacity","18,090","18,090","18,976","18,802","18,090","18,976"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","818","818","1,224","1,224","818","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,188","4,188","4,196","4,141","4,188","4,196"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,713","9,713","9,983","9,876","9,713","9,983"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","657","657","698","687","657","698"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,714","2,714","2,875","2,875","2,714","2,875"
"Refiner Inputs and Utilization ","Percent Utilization","92.2","92.9","77.5","94.7","92.4","75.3"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","89.1","87.6","51.8","69.5","88.7","50.3"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","98.8","98.2","83.0","97.8","97.7","80.6"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","91.3","92.7","80.7","96.5","92.3","78.7"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","85.3","87.5","84.5","97.7","83.9","84.1"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","87.6","88.3","67.3","94.0","87.8","64.3"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","1,226","1,061","1,029","755","920","819"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,538","2,536","2,257","2,564","2,485","2,181"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","255","254","392","298","209","318"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,751","-1,957","-1,731","-2,163","-1,948","-1,772"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","10","32","-37","-25","30","-28"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","174","196","148","80","144","120"
"Refiner and Blender Net Inputs ","RBOB","493","229","271","547","291","323"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","649","541","486","706","543","502"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","96","65","60","78","63","66"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-268","-470","-364","-335","-354","-319"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","16","93","89","98","39","75"
"Refiner and Blender Net Inputs ","CBOB","261","371","237","-272","205","219"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,592","1,592","1,320","1,475","1,578","1,396"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","173","230","286","258","164","234"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,616","-1,602","-1,395","-1,980","-1,641","-1,427"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","10","32","-32","-22","33","-24"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","102","119","57","-4","72","41"
"Refiner and Blender Net Inputs ","GTAB","61","136","279","212","121","146"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","61","136","279","212","121","146"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","411","326","241","269","303","131"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","235","267","172","170","242","138"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-13","-40","45","-37","-18","18"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","133","115","28","153","47","-26"
