"STUB_1","STUB_2","7/7/17","6/30/17","7/8/16","7/10/15","7/7/17","7/8/16"
"Crude Oil Production ","Domestic Production","9,397","9,338","8,485","9,562","9,334","8,553"
"Crude Oil Production ","Alaska","457","423","411","458","451","442"
"Crude Oil Production ","Lower 48","8,940","8,915","8,074","9,104","8,883","8,111"
"Refiner Inputs and Utilization ","Crude Oil Inputs","17,244","17,141","16,544","16,825","17,107","16,608"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,081","1,142","1,057","1,205","1,125","1,098"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,892","3,873","3,650","3,610","3,875","3,703"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,220","9,136","8,669","8,858","9,113","8,685"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","665","614","625","668","619","645"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,386","2,377","2,543","2,484","2,375","2,477"
"Refiner Inputs and Utilization ","Gross Inputs","17,603","17,422","16,905","17,110","17,434","16,896"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,081","1,144","1,124","1,206","1,127","1,152"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,897","3,874","3,651","3,614","3,878","3,705"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,424","9,262","8,814","9,048","9,287","8,761"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","660","613","627","665","618","647"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,541","2,530","2,689","2,578","2,525","2,631"
"Refiner Inputs and Utilization ","Operable Capacity","18,621","18,621","18,320","17,962","18,621","18,310"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,256","1,256","1,278","1,269","1,256","1,278"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,999","3,999","3,924","3,842","3,999","3,924"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,742","9,742","9,515","9,271","9,742","9,513"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","692","692","680","647","692","673"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,933","2,933","2,924","2,933","2,933","2,924"
"Refiner Inputs and Utilization ","Percent Utilization","94.5","93.6","92.3","95.3","93.6","92.3"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","86.1","91.0","87.9","95.0","89.7","90.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","97.4","96.9","93.1","94.1","97.0","94.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","96.7","95.1","92.6","97.6","95.3","92.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","95.4","88.7","92.2","102.7","89.3","96.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","86.6","86.2","92.0","87.9","86.1","90.0"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","764","816","806","700","744","788"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,279","2,441","2,275","2,258","2,377","2,375"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","440","440","483","347","434","482"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,142","-2,280","-2,012","-2,085","-2,247","-2,194"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","13","-27","-43","-18","-7","-25"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","174","242","102","197","188","149"
"Refiner and Blender Net Inputs ","RBOB","325","427","217","330","339","305"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","584","732","589","600","632","589"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","81","62","28","71","47","44"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-435","-488","-428","-371","-456","-409"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","95","120","27","30","116","82"
"Refiner and Blender Net Inputs ","CBOB","130","134","-4","-114","78","-40"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,389","1,443","1,491","1,339","1,439","1,425"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","358","385","316","185","369","394"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,681","-1,775","-1,850","-1,725","-1,764","-1,905"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","10","-9","-34","-14","-13","-21"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","54","90","73","100","47","67"
"Refiner and Blender Net Inputs ","GTAB","52","181","62","100","123","172"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","52","181","62","100","123","172"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","258","74","531","383","205","351"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","255","85","133","218","183","189"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","1","-8","139","91","19","44"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-26","-17","266","11","-28","121"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","3","-17","-9","-4","6","-4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","25","32","2","68","25","1"
"Refiner and Blender Net Inputs ","Fuel Ethanol","927","945","919","881","944","939"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","331","341","332","320","339","340"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","252","257","248","239","258","255"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","149","145","148","140","149","149"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","33","33","31","29","32","32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","163","168","161","154","166","162"
"Refiner and Blender Net Production ","Finished Motor Gasoline","10,469","10,365","10,218","9,658","10,333","10,121"
