"STUB_1","STUB_2","4/24/15","4/17/15","4/25/14","4/26/13","4/24/15","4/25/14"
"Crude Oil Production ","Domestic Production","9,373","9,366","8,352","7,312","9,382","8,311"
"Crude Oil Production ","Alaska","512","505","530","500","516","539"
"Crude Oil Production ","Lower 48","8,861","8,861","7,822","6,812","8,866","7,772"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,100","15,982","15,954","14,710","16,056","15,721"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,152","1,102","1,172","1,102","1,109","1,056"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,647","3,672","3,515","3,224","3,661","3,409"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,528","8,307","8,362","7,627","8,377","8,308"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","611","599","512","520","593","516"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,160","2,302","2,394","2,236","2,317","2,432"
"Refiner Inputs and Utilization ","Gross Inputs","16,340","16,308","16,312","15,038","16,320","16,065"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,154","1,105","1,175","1,160","1,112","1,065"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,649","3,674","3,517","3,183","3,667","3,413"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,618","8,481","8,502","7,808","8,502","8,426"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","612","601","514","520","594","521"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,307","2,447","2,604","2,367","2,445","2,639"
"Refiner Inputs and Utilization ","Operable Capacity","17,889","17,889","17,933","17,819","17,889","17,933"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,269","1,269","1,297","1,293","1,269","1,297"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,859","3,859","3,818","3,769","3,859","3,818"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,196","9,196","9,154","9,103","9,196","9,154"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","647","647","631","625","647","631"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,918","2,918","3,034","3,029","2,918","3,034"
"Refiner Inputs and Utilization ","Percent Utilization","91.3","91.2","91.0","84.4","91.2","89.6"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","90.9","87.0","90.6","89.7","87.7","82.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","94.6","95.2","92.1","84.5","95.0","89.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","93.7","92.2","92.9","85.8","92.5","92.0"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","94.6","92.8","81.4","83.3","91.8","82.6"
