"STUB_1","STUB_2","11/10/17","11/3/17","11/11/16","11/13/15","11/10/17","11/11/16"
"Crude Oil Production ","Domestic Production","9,645","9,620","8,681","9,182","9,581","8,600"
"Crude Oil Production ","Alaska","514","509","514","519","509","511"
"Crude Oil Production ","Lower 48","9,131","9,111","8,167","8,663","9,073","8,089"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,639","16,305","16,126","16,076","16,246","15,736"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,179","1,143","1,094","1,172","1,105","1,107"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,544","3,388","3,636","3,375","3,458","3,609"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,935","8,799","8,580","8,536","8,752","8,285"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","586","588","628","590","605","595"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,395","2,388","2,187","2,404","2,326","2,140"
"Refiner Inputs and Utilization ","Gross Inputs","16,893","16,645","16,449","16,311","16,548","15,996"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,180","1,144","1,080","1,174","1,108","1,100"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,544","3,391","3,637","3,382","3,458","3,610"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,054","8,998","8,751","8,681","8,917","8,413"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","590","585","631","589","605","600"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,525","2,527","2,350","2,484","2,460","2,274"
"Refiner Inputs and Utilization ","Operable Capacity","18,573","18,569","18,436","18,059","18,570","18,436"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,182","1,182","1,278","1,273","1,182","1,278"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,011","4,011","3,934","3,842","4,011","3,934"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,754","9,752","9,605","9,361","9,753","9,605"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","693","692","696","651","692","696"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,933","2,933","2,924","2,933","2,933","2,924"
"Refiner Inputs and Utilization ","Percent Utilization","91.0","89.6","89.2","90.3","89.1","86.8"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","99.8","96.8","84.5","92.3","93.8","86.1"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","88.4","84.6","92.5","88.0","86.2","91.8"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","92.8","92.3","91.1","92.7","91.4","87.6"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","85.2","84.5","90.7","90.5","87.5","86.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","86.1","86.2","80.4","84.7","83.9","77.8"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","302","968","233","648","760","768"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,221","2,444","2,243","2,118","2,321","2,387"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","354","341","216","322","362","346"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,240","-1,894","-2,196","-1,928","-1,991","-2,015"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-38","-51","-39","-18","-54","-38"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","6","128","9","153","122","88"
"Refiner and Blender Net Inputs ","RBOB","338","459","170","187","487","436"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","510","571","381","445","547","550"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","13","32","98","8","40","61"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-211","-288","-237","-256","-215","-229"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","26","144","-72","-10","115","53"
"Refiner and Blender Net Inputs ","CBOB","-214","309","-333","-54","33","-29"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,516","1,626","1,510","1,403","1,553","1,528"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","356","320","59","259","332","216"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,059","-1,601","-1,923","-1,756","-1,819","-1,772"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-54","-50","-14","-49","-48","-27"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","28","15","35","88","15","26"
"Refiner and Blender Net Inputs ","GTAB","-3","66","111","118","39","79"
