"STUB_1","STUB_2","10/25/19","10/18/19","10/26/18","10/27/17","10/25/19","10/26/18"
"Crude Oil Production ","Domestic Production","12,600","12,600","11,200","9,553","12,600","11,050"
"Crude Oil Production ","Alaska","456","485","488","507","474","487"
"Crude Oil Production ","Lower 48","12,100","12,100","10,700","9,046","12,100","10,550"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,998","15,865","16,417","16,015","15,739","16,310"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","723","735","928","1,061","731","898"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,705","3,551","3,172","3,479","3,603","3,085"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,576","8,521","9,330","8,624","8,409","9,239"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","564","586","622","598","578","657"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,430","2,472","2,365","2,253","2,418","2,431"
"Refiner Inputs and Utilization ","Gross Inputs","16,487","16,012","16,625","16,350","16,056","16,562"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","727","738","934","1,067","735","911"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,731","3,487","3,083","3,479","3,599","2,996"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,861","8,725","9,421","8,819","8,641","9,385"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","566","588","623","598","579","657"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,602","2,474","2,564","2,387","2,501","2,614"
"Refiner Inputs and Utilization ","Operable Capacity","18,802","18,802","18,599","18,569","18,802","18,599"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,224","1,182","1,224","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,141","4,141","4,092","4,011","4,141","4,092"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,876","9,876","9,762","9,752","9,876","9,762"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","687","687","683","692","687","683"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,875","2,875","2,838","2,933","2,875","2,838"
"Refiner Inputs and Utilization ","Percent Utilization","87.7","85.2","89.4","88.1","85.4","89.0"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","59.4","60.3","76.3","90.3","60.1","74.4"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","90.1","84.2","75.4","86.7","86.9","73.2"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","89.7","88.4","96.5","90.4","87.5","96.1"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","82.4","85.6","91.2","86.3","84.4","96.1"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","90.5","86.0","90.4","81.4","87.0","92.1"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","885","977","962","947","835","704"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,506","2,472","2,454","2,327","2,486","2,264"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","417","439","603","403","339","573"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,199","-2,067","-2,204","-1,897","-2,133","-2,195"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-10","-15","-1","-70","-14","-20"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","171","149","109","184","157","82"
"Refiner and Blender Net Inputs ","RBOB","519","578","289","654","457","306"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","613","576","371","590","567","393"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","100","62","58","70","72","53"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-248","-168","-263","-176","-252","-230"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","55","109","124","170","70","90"
"Refiner and Blender Net Inputs ","CBOB","-155","-50","203","-20","-43","141"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,610","1,584","1,749","1,541","1,626","1,697"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","299","387","496","365","253","496"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,091","-2,037","-2,027","-1,818","-1,963","-2,032"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-30","-29","-10","-72","-27","-18"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","57","45","-5","-36","68","-3"
"Refiner and Blender Net Inputs ","GTAB","42","79","101","29","72","63"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","42","79","101","29","72","63"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","479","370","368","284","349","194"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","242","232","233","166","220","111"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","18","-10","49","-32","14","23"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","139","138","86","98","82","67"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","20","14","9","2","13","-3"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","60","-4","-10","50","19","-5"
"Refiner and Blender Net Inputs ","Fuel Ethanol","936","928","936","930","931","931"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","338","337","343","341","336","339"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","258","250","254","247","250","252"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","152","152","149","149","154","150"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","31","32","32","31","32","32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","158","157","158","161","158","158"
"Refiner and Blender Net Production ","Finished Motor Gasoline","10,184","10,098","10,364","10,187","10,086","10,133"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","10,207","10,030","10,357","10,175","10,091","10,226"
