"STUB_1","STUB_2","4/6/18","3/30/18","4/7/17","4/8/16","4/6/18","4/7/17"
"Crude Oil Production ","Domestic Production","10,525","10,460","9,235","8,977","10,456","9,178"
"Crude Oil Production ","Alaska","498","518","534","518","512","529"
"Crude Oil Production ","Lower 48","10,027","9,942","8,701","8,459","9,945","8,649"
"Refiner Inputs and Utilization ","Crude Oil Inputs","17,019","16,936","16,697","15,941","16,882","16,288"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,049","919","987","1,146","954","887"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,808","3,758","3,781","3,188","3,737","3,715"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,053","9,123","8,641","8,698","9,027","8,572"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","616","577","660","534","619","620"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,492","2,559","2,628","2,374","2,545","2,493"
"Refiner Inputs and Utilization ","Gross Inputs","17,355","17,259","16,945","16,207","17,187","16,613"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,080","949","989","1,142","971","888"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,807","3,759","3,791","3,196","3,738","3,719"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,180","9,251","8,721","8,796","9,163","8,729"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","615","580","658","535","617","618"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,673","2,719","2,786","2,539","2,698","2,659"
"Refiner Inputs and Utilization ","Operable Capacity","18,567","18,550","18,618","18,172","18,554","18,536"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,182","1,256","1,273","1,193","1,273"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,071","4,013","3,999","3,878","4,028","3,982"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,752","9,815","9,736","9,437","9,799","9,660"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","683","693","694","651","691","696"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,838","2,848","2,933","2,933","2,846","2,926"
"Refiner Inputs and Utilization ","Percent Utilization","93.5","93.0","91.0","89.2","92.6","89.6"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","88.2","80.3","78.7","89.7","81.4","69.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","93.5","93.7","94.8","82.4","92.8","93.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","94.1","94.3","89.6","93.2","93.5","90.4"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","90.1","83.6","94.8","82.2","89.4","88.8"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","94.2","95.5","95.0","86.6","94.8","90.9"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","551","748","698","819","725","594"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,198","2,395","2,351","2,214","2,325","2,293"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","216","154","286","459","199","224"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,948","-1,955","-1,947","-2,086","-1,909","-1,998"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-39","1","-45","-10","-28","-40"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","123","153","52","241","138","115"
"Refiner and Blender Net Inputs ","RBOB","238","528","472","245","443","477"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","384","535","551","531","514","551"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","36","35","91","73","55","46"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-299","-214","-229","-429","-246","-183"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","117","173","59","70","119","63"
"Refiner and Blender Net Inputs ","CBOB","-171","-350","-294","196","-145","-205"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,480","1,466","1,396","1,475","1,494","1,476"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","147","77","140","304","145","137"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,715","-1,894","-1,763","-1,684","-1,757","-1,820"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-38","-32","-55","-18","-45","-41"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-44","33","-12","119","18","44"
"Refiner and Blender Net Inputs ","GTAB","147","95","107","46","73","66"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","147","95","107","46","73","66"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","337","475","413","332","354","255"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","187","299","297","162","243","201"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","34","42","55","83","-2","41"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","66","153","45","27","95","5"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","33","10","8","17","1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","50","-52","5","52","1","8"
"Refiner and Blender Net Inputs ","Fuel Ethanol","904","903","908","907","906","913"
