"STUB_1","STUB_2","11/16/12","11/9/12","11/18/11","11/19/10","11/16/12","11/18/11"
"Crude Oil Production ","Domestic Production","6,710","6,709","5,887","5,581","6,691","5,861"
"Crude Oil Production ","Alaska","548","547","585","595","549","570"
"Crude Oil Production ","Lower 48","6,162","6,162","5,302","4,986","6,142","5,291"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,889","14,612","14,796","14,284","14,755","14,626"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","800","836","1,098","837","834","1,164"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,271","3,292","3,397","3,203","3,310","3,307"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","7,990","7,767","7,446","7,323","7,837","7,401"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","562","503","583","549","526","551"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,265","2,214","2,272","2,373","2,248","2,203"
"Refiner Inputs and Utilization ","Gross Inputs","15,200","14,946","15,170","15,040","15,060","14,994"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","873","858","1,099","841","884","1,155"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,232","3,266","3,416","3,226","3,281","3,344"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,145","7,975","7,648","7,808","7,990","7,578"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","566","506","582","554","530","554"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,383","2,341","2,425","2,610","2,375","2,363"
"Refiner Inputs and Utilization ","Operable Capacity","17,380","17,380","17,736","17,594","17,380","17,736"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,293","1,293","1,618","1,397","1,293","1,618"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,710","3,710","3,721","3,728","3,710","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","8,626","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","624","623","624","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,028","3,028","3,128","3,219","3,028","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","87.5","86.0","85.5","85.5","86.7","84.5"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","67.5","66.4","67.9","60.2","68.3","71.4"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","87.1","88.0","91.8","86.6","88.4","89.9"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","93.4","91.4","88.5","90.5","91.6","87.7"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","90.8","81.1","93.3","89.0","85.0","88.8"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","78.7","77.3","77.5","81.1","78.4","75.5"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","382","299","467","723","318","583"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,110","2,076","2,019","1,961","2,085","2,016"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","106","145","102","194","160","148"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,868","-1,931","-1,789","-1,637","-1,985","-1,727"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-16","-33","-18","9","-2","-10"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","49","43","153","197","61","157"
"Refiner and Blender Net Inputs ","RBOB","395","139","257","438","368","257"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","639","562","416","533","575","407"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","17","46","12","92","65","43"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-254","-465","-190","-344","-297","-247"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-8","-4","19","156","25","53"
"Refiner and Blender Net Inputs ","CBOB","-307","70","-165","120","-190","-15"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,199","1,354","1,226","1,222","1,328","1,263"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","45","36","29","82","50","55"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,612","-1,423","-1,510","-1,243","-1,635","-1,401"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-37","-9","-19","5","-9","-14"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","97","111","108","54","77","82"
