"STUB_1","STUB_2","11/16/18","11/9/18","11/17/17","11/18/16","11/16/18","11/17/17"
"Crude Oil Production ","Domestic Production","11,700","11,700","9,658","8,690","11,550","9,619"
"Crude Oil Production ","Alaska","503","499","507","511","495","509"
"Crude Oil Production ","Lower 48","11,200","11,200","9,151","8,179","11,050","9,110"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,855","16,432","16,838","16,397","16,528","16,449"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","942","916","1,163","1,172","923","1,137"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,748","3,442","3,792","3,616","3,394","3,551"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,086","8,967","8,850","8,720","9,154","8,802"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","586","600","598","639","603","593"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,493","2,506","2,434","2,250","2,453","2,367"
"Refiner Inputs and Utilization ","Gross Inputs","17,245","16,765","16,962","16,734","16,844","16,713"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","944","922","1,165","1,157","928","1,139"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,741","3,431","3,792","3,616","3,355","3,552"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,324","9,157","8,839","8,916","9,335","8,928"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","587","601","598","643","603","593"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,649","2,653","2,568","2,401","2,623","2,502"
"Refiner Inputs and Utilization ","Operable Capacity","18,602","18,602","18,573","18,436","18,601","18,571"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,182","1,278","1,224","1,182"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,092","4,092","4,011","3,934","4,092","4,011"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,765","9,765","9,754","9,605","9,764","9,753"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","683","683","693","696","683","693"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,838","2,838","2,933","2,924","2,838","2,933"
"Refiner Inputs and Utilization ","Percent Utilization","92.7","90.1","91.3","90.8","90.6","90.0"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","77.1","75.4","98.6","90.6","75.8","96.4"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","91.4","83.9","94.6","91.9","82.0","88.6"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","95.5","93.8","90.6","92.8","95.6","91.5"
