"STUB_1","STUB_2","7/14/23","7/7/23","7/15/22","7/16/21","7/14/23","7/15/22"
"Crude Oil Production ","Domestic Production","12,300","12,300","11,900","11,400","12,300","12,025"
"Crude Oil Production ","Alaska","406","417","435","378","420","426"
"Crude Oil Production ","Lower 48","11,900","11,900","11,500","11,000","11,900","11,625"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,585","16,659","16,319","16,007","16,382","16,516"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","587","607","791","616","612","789"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,151","4,144","3,813","4,026","4,082","3,951"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,027","8,972","9,027","8,629","8,811","9,089"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","566","579","656","586","587","631"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,254","2,357","2,031","2,149","2,290","2,056"
"Refiner Inputs and Utilization ","Gross Inputs","17,228","17,127","16,812","16,569","16,963","16,959"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","692","630","800","658","667","805"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,157","4,147","3,771","4,026","4,094","3,913"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,397","9,235","9,417","8,997","9,164","9,406"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","564","580","656","587","587","631"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,418","2,533","2,168","2,301","2,451","2,204"
"Refiner Inputs and Utilization ","Operable Capacity","18,270","18,270","17,944","18,128","18,270","17,944"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","878","878","818","818","878","818"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,206","4,206","4,197","4,188","4,206","4,197"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,917","9,917","9,607","9,751","9,917","9,607"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","650","650","663","657","650","663"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,620","2,620","2,659","2,714","2,620","2,659"
"Refiner Inputs and Utilization ","Percent Utilization","94.3","93.7","93.7","91.4","92.8","94.5"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","78.8","71.8","97.9","80.4","76.0","98.5"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","98.8","98.6","89.8","96.1","97.3","93.2"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","94.8","93.1","98.0","92.3","92.4","97.9"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","86.7","89.3","98.9","89.4","90.2","95.2"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","92.3","96.7","81.5","84.8","93.6","82.9"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","673","597","627","842","542","618"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,530","2,505","2,463","2,412","2,507","2,464"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","203","102","305","220","174","249"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,212","-2,029","-2,332","-1,923","-2,231","-2,255"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","52","23","10","-11","39","13"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","101","-3","182","145","53","148"
"Refiner and Blender Net Inputs ","RBOB","293","116","459","499","178","255"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","545","442","621","560","511","513"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","47","32","101","68","44","61"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-383","-360","-362","-300","-434","-402"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","84","2","99","171","56","83"
"Refiner and Blender Net Inputs ","CBOB","34","260","-58","78","72","103"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,532","1,660","1,572","1,515","1,566","1,519"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","111","138","196","186","128","211"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,588","-1,523","-1,846","-1,576","-1,605","-1,646"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","0","10","-20","23","13"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-49","-15","10","-27","-40","6"
"Refiner and Blender Net Inputs ","GTAB","138","103","-16","128","155","119"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","138","103","-16","128","155","119"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","209","119","242","137","138","141"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","314","299","286","209","275","313"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","46","-68","8","-33","2","-23"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-241","-145","-124","-47","-192","-207"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","23","23","0","9","16","-1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","66","10","72","0","37","59"
"Refiner and Blender Net Inputs ","Fuel Ethanol","897","891","887","907","902","897"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","324","321","319","325","323","323"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","246","244","242","248","249","247"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","151","153","145","148","153","147"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","28","32","31","29","32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","148","144","148","154","148","148"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,523","10,107","9,368","9,130","10,003","9,533"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,717","9,656","9,539","9,767","9,684","9,740"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,176","3,179","3,134","3,105","3,160","3,162"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,516","2,508","2,450","2,502","2,537","2,519"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,203","2,203","2,155","2,281","2,183","2,248"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","357","341","375","337","354","366"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,465","1,424","1,426","1,542","1,450","1,446"
"Refiner and Blender Net Production ","Adjustment","-193","451","-171","-637","319","-208"
"Refiner and Blender Net Production ","Reformulated","2,956","2,859","2,896","3,035","2,951","2,925"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,182","1,107","1,142","1,207","1,151","1,152"
"Refiner and Blender Net Production ","Midwest (PADD 2)","316","303","319","338","317","323"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","459","468","444","428","473","448"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","999","982","990","1,063","1,009","1,002"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","2,956","2,859","2,896","3,035","2,951","2,924"
