"STUB_1","3/13/20","3/6/20","Difference","3/15/19","Percent Change","3/16/18","Percent Change"
"Crude Oil","1,088.700","1,086.750","1.954","1,088.609","0.000","1,093.764","-0.500"
"Commercial (Excluding SPR)","453.737","451.783","1.954","439.483","3.200","428.306","5.900"
"East Coast (PADD 1)","11.115","11.220","-0.105","14.243","-22.000","12.736","-12.700"
"Midwest (PADD 2)","127.402","126.666","0.736","139.516","-8.700","111.757","14.000"
"Cushing","38.445","37.882","0.563","46.383","-17.100","29.423","30.700"
"Gulf Coast (PADD 3)","243.926","242.203","1.723","213.527","14.200","232.961","4.700"
"Rocky Mountain (PADD 4)","20.564","20.483","0.081","21.236","-3.200","22.462","-8.500"
"West Coast (PADD 5)","50.729","51.210","-0.481","50.961","-0.500","48.389","4.800"
"Alaska In-Transit","4.810","4.532","0.278","4.175","15.200","3.378","42.400"
"SPR","634.967","634.967","0.000","649.126","-2.200","665.458","-4.600"
"Total Motor Gasoline","240.819","246.999","-6.180","241.503","-0.300","243.065","-0.900"
"Reformulated","0.036","0.053","-0.017","0.042","-14.300","0.041","-12.200"
"Conventional","23.690","25.186","-1.497","22.285","6.300","24.492","-3.300"
"Blending Components","217.094","221.760","-4.666","219.176","-1.000","218.532","-0.700"
"Fuel Ethanol","24.598","24.334","0.264","24.412","0.800","23.758","3.500"
"Kerosene-Type Jet Fuel","40.667","42.414","-1.748","41.402","-1.800","40.976","-0.800"
"Distillate Fuel Oil","125.120","128.060","-2.940","132.242","-5.400","131.044","-4.500"
"15 ppm sulfur and Under","112.173","115.408","-3.235","118.275","-5.200","114.926","-2.400"
"> 15 ppm to 500 ppm sulfur","3.673","3.989","-0.317","3.635","1.000","5.288","-30.500"
"> 500 ppm sulfur","9.274","8.663","0.612","10.332","-10.200","10.830","-14.400"
"Residual Fuel Oil","32.725","31.470","1.256","29.280","11.800","32.746","-0.100"
"Propane/Propylene","66.730","67.031","-0.300","51.110","30.600","36.759","81.500"
"Other Oils ","278.938","278.923","0.014","262.419","6.300","254.450","9.600"
"Unfinished Oils","97.010","97.767","-0.757","92.730","4.600","93.926","3.300"
"Total Stocks (Including SPR)","1,898.300","1,905.980","-7.680","1,870.977","1.500","1,856.562","2.200"
"Total Stocks (Excluding SPR)","1,263.330","1,271.010","-7.680","1,221.851","3.400","1,191.104","6.100"
