"STUB_1","STUB_2","11/15/24","11/8/24","11/17/23","11/18/22","11/15/24","11/17/23"
"Crude Oil Production ","Domestic Production","13,201","13,400","13,200","12,100","13,400","13,200"
"Crude Oil Production ","Alaska","441","432","414","448","434","429"
"Crude Oil Production ","Lower 48","12,760","13,000","12,800","11,700","12,990","12,800"
"Refiner Inputs and Utilization ","Crude Oil Inputs","16,228","16,509","15,504","16,410","16,281","15,347"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","740","720","739","825","702","644"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,731","3,787","3,679","3,848","3,755","3,682"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,990","9,307","8,496","8,958","9,116","8,374"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","595","588","603","580","600","616"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,173","2,106","1,987","2,198","2,108","2,031"
"Refiner Inputs and Utilization ","Gross Inputs","16,536","16,754","15,901","16,863","16,549","15,703"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","749","741","757","841","718","662"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,714","3,692","3,702","3,852","3,691","3,694"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,213","9,527","8,754","9,232","9,324","8,613"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","593","587","601","579","597","614"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,268","2,206","2,087","2,358","2,219","2,121"
"Refiner Inputs and Utilization ","Operable Capacity","18,326","18,326","18,272","17,962","18,326","18,272"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","910","910","878","818","910","878"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,246","4,246","4,208","4,197","4,246","4,208"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,987","9,987","9,917","9,625","9,987","9,917"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","652","652","650","663","652","650"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,531","2,531","2,620","2,659","2,531","2,620"
"Refiner Inputs and Utilization ","Percent Utilization","90.2","91.4","87.0","93.9","90.3","85.9"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","82.3","81.4","86.2","102.9","79.0","75.4"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","87.5","87.0","88.0","91.8","86.9","87.8"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","92.3","95.4","88.3","95.9","93.4","86.9"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","90.9","90.0","92.4","87.3","91.6","94.4"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","89.6","87.1","79.7","88.7","87.6","80.9"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","391","423","513","307","545","644"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,409","2,524","2,472","2,338","2,493","2,513"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","30","154","97","159","177","167"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,164","-2,364","-2,309","-2,191","-2,276","-2,276"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","31","45","36","38","45","32"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","84","63","218","-39","107","207"
"Refiner and Blender Net Inputs ","RBOB","589","567","578","269","558","649"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","546","588","568","366","539","575"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","112","35","57","55","94","83"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-164","-141","-220","-153","-199","-137"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","47","57","45","0","55","27"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","48","28","129","0","68","101"
"Refiner and Blender Net Inputs ","CBOB","-320","-73","-247","-82","-75","-88"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,665","1,755","1,672","1,605","1,758","1,687"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-44","119","62","92","102","102"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,950","-1,980","-2,027","-1,795","-1,952","-1,933"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","5","-4","-7","38","-1","6"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","5","36","53","-21","18","50"
"Refiner and Blender Net Inputs ","GTAB","-38","63","37","89","21","44"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","-38","63","37","89","21","44"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","160","-134","146","30","41","39"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","237","118","196","278","174","208"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-37","0","-22","12","-19","-18"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-50","-243","-62","-242","-126","-206"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-21","-8","-1","1","-9","-1"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","31","-1","36","-17","21","56"
"Refiner and Blender Net Inputs ","Fuel Ethanol","892","909","891","886","910","897"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","325","334","325","319","331","322"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","242","243","239","243","247","241"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","151","155","151","151","155","154"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","29","30","33","31","30","33"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","145","147","143","143","147","147"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,287","10,267","9,372","9,164","9,739","9,627"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,546","9,669","9,449","9,652","9,745","9,537"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,148","3,289","3,173","3,114","3,237","3,178"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,461","2,467","2,464","2,480","2,512","2,460"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,177","2,138","2,023","2,300","2,208","2,123"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","347","358","359","360","361","362"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,414","1,416","1,429","1,398","1,427","1,439"
"Refiner and Blender Net Production ","Adjustment","-259","598","-77","-488","-6","90"
"Refiner and Blender Net Production ","Reformulated","3,020","3,096","3,051","2,957","3,089","3,050"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,154","1,202","1,187","1,150","1,186","1,184"
"Refiner and Blender Net Production ","Midwest (PADD 2)","342","335","349","348","342","343"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","489","495","480","472","501","486"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","51","62","51","0","59","30"
"Refiner and Blender Net Production ","West Coast (PADD 5)","985","1,003","985","987","1,001","1,006"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","3,020","3,096","3,051","2,957","3,089","3,050"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,154","1,202","1,187","1,150","1,186","1,184"
"Refiner and Blender Net Production ","Midwest (PADD 2)","342","335","349","348","342","343"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","489","495","480","472","501","486"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","51","62","51","0","59","30"
"Refiner and Blender Net Production ","West Coast (PADD 5)","985","1,003","985","987","1,001","1,006"
"Refiner and Blender Net Production ","Other","0","0","0","0","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","6,526","6,572","6,397","6,695","6,656","6,512"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,994","2,087","1,986","1,963","2,051","1,994"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,119","2,133","2,115","2,132","2,170","2,116"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,688","1,644","1,543","1,828","1,707","1,636"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","296","296","308","360","302","332"
"Refiner and Blender Net Production ","West Coast (PADD 5)","429","413","445","411","427","433"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","5,723","5,863","5,707","5,742","5,864","5,776"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,020","2,110","2,019","1,974","2,079","2,014"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,009","2,028","1,988","2,012","2,060","2,005"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,010","1,033","1,001","1,023","1,028","1,027"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","240","241","263","307","246","285"
"Refiner and Blender Net Production ","West Coast (PADD 5)","443","451","435","426","451","444"
"Refiner and Blender Net Production ","Ed55 and Lower","5,714","5,854","5,697","5,731","5,855","5,767"
"Refiner and Blender Net Production ","East Coast (PADD 1)","2,017","2,107","2,017","1,972","2,076","2,012"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,005","2,023","1,983","2,005","2,055","2,000"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,010","1,032","1,000","1,022","1,028","1,026"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","240","241","263","306","245","285"
"Refiner and Blender Net Production ","West Coast (PADD 5)","442","450","434","426","451","443"
"Refiner and Blender Net Production ","Greater than Ed55","9","9","9","11","9","9"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3","3","2","2","3","3"
"Refiner and Blender Net Production ","Midwest (PADD 2)","5","5","5","6","5","5"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","1","1","1","1","1"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","1","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1","1","0","0","0","0"
"Refiner and Blender Net Production ","Other","803","709","691","953","792","736"
"Refiner and Blender Net Production ","East Coast (PADD 1)","-27","-23","-33","-11","-29","-20"
"Refiner and Blender Net Production ","Midwest (PADD 2)","110","104","127","121","110","111"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","678","610","542","806","678","609"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","56","55","45","53","56","47"
"Refiner and Blender Net Production ","West Coast (PADD 5)","-13","-38","10","-16","-24","-11"
"Refiner and Blender Net Production ","Kerosene-Type Jet Fuel","1,753","1,721","1,699","1,634","1,747","1,615"
"Refiner and Blender Net Production ","East Coast (PADD 1)","73","81","68","76","79","47"
"Refiner and Blender Net Production ","Midwest (PADD 2)","295","283","278","274","296","278"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","924","917","905","871","931","857"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","33","27","32","38","31","31"
"Refiner and Blender Net Production ","West Coast (PADD 5)","429","414","416","376","410","402"
"Refiner and Blender Net Production ","Commercial","1,741","1,669","1,609","1,553","1,709","1,566"
"Refiner and Blender Net Production ","East Coast (PADD 1)","74","82","68","76","80","50"
"Refiner and Blender Net Production ","Midwest (PADD 2)","296","283","278","274","296","279"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","921","897","828","799","909","824"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","28","23","28","34","26","26"
"Refiner and Blender Net Production ","West Coast (PADD 5)","421","384","407","369","397","387"
"Refiner and Blender Net Production ","Military","12","52","88","80","37","49"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","1","1","1","1","1"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2","18","75","70","21","31"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","2","2","3","2","2","3"
"Refiner and Blender Net Production ","West Coast (PADD 5)","8","29","9","6","13","15"
"Refiner and Blender Net Production ","Distillate Fuel Oil","4,837","4,969","4,938","5,111","4,941","4,743"
"Refiner and Blender Net Production ","East Coast (PADD 1)","193","227","237","263","204","193"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,121","1,112","1,157","1,157","1,141","1,075"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,878","3,011","2,883","2,974","2,960","2,843"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","183","174","200","193","187","203"
"Refiner and Blender Net Production ","West Coast (PADD 5)","463","444","461","525","450","428"
"Refiner and Blender Net Production ","15 ppm sulfur and Under","4,688","4,807","4,730","4,895","4,798","4,549"
"Refiner and Blender Net Production ","East Coast (PADD 1)","215","213","232","262","210","197"
"Refiner and Blender Net Production ","Midwest (PADD 2)","1,120","1,113","1,140","1,166","1,141","1,069"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,726","2,874","2,723","2,753","2,827","2,675"
