"STUB_1","STUB_2","3/27/20","3/20/20","3/29/19","3/30/18","3/27/20","3/29/19"
"Crude Oil Production ","Domestic Production","13,000","13,000","12,200","10,460","13,025","12,100"
"Crude Oil Production ","Alaska","475","459","482","518","471","484"
"Crude Oil Production ","Lower 48","12,500","12,500","11,700","9,942","12,525","11,600"
"Refiner Inputs and Utilization ","Crude Oil Inputs","14,898","15,838","15,849","16,936","15,564","15,975"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","607","663","955","919","651","918"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,357","3,635","3,460","3,758","3,533","3,531"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,323","8,653","8,507","9,123","8,550","8,534"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","519","554","620","577","569","613"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,091","2,332","2,307","2,559","2,261","2,379"
"Refiner Inputs and Utilization ","Gross Inputs","15,481","16,417","16,078","17,259","16,097","16,255"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","627","710","967","949","689","937"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,377","3,654","3,468","3,759","3,553","3,537"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,751","8,982","8,571","9,251","8,905","8,647"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","519","555","618","580","568","612"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,207","2,515","2,453","2,719","2,382","2,521"
"Refiner Inputs and Utilization ","Operable Capacity","18,808","18,808","18,604","18,550","18,808","18,604"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,224","1,182","1,224","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,147","4,147","4,094","4,013","4,147","4,094"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,876","9,876","9,765","9,815","9,876","9,765"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","687","687","683","693","687","683"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,875","2,875","2,838","2,848","2,875","2,838"
"Refiner Inputs and Utilization ","Percent Utilization","82.3","87.3","86.4","93.0","85.6","87.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","51.3","58.0","79.0","80.3","56.3","76.6"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","81.4","88.1","84.7","93.7","85.7","86.4"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","88.6","91.0","87.8","94.3","90.2","88.6"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","75.6","80.9","90.5","83.6","82.7","89.6"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","76.8","87.5","86.5","95.5","82.8","88.8"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-905","921","1,133","748","560","1,099"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,485","2,342","2,423","2,395","2,239","2,406"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-236","148","358","154","30","329"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,869","-1,700","-1,803","-1,955","-1,763","-1,781"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-56","42","-16","1","-3","-27"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-229","89","170","153","57","171"
"Refiner and Blender Net Inputs ","RBOB","-200","387","503","528","366","570"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","231","516","504","535","544","514"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-43","-8","71","35","-16","62"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-259","-115","-142","-214","-172","-105"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-129","-7","70","173","10","98"
"Refiner and Blender Net Inputs ","CBOB","-838","117","341","-350","64","155"
