"STUB_1","STUB_2","2/15/19","2/8/19","2/16/18","2/17/17","2/15/19","2/16/18"
"Crude Oil Production ","Domestic Production","12,000","11,900","10,270","9,001","11,925","10,178"
"Crude Oil Production ","Alaska","487","498","508","518","493","515"
"Crude Oil Production ","Lower 48","11,500","11,400","9,762","8,483","11,425","9,663"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,711","15,768","15,833","15,271","16,144","16,201"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","779","849","935","923","855","1,048"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,475","3,454","3,629","3,574","3,646","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,456","8,555","8,244","7,973","8,626","8,463"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","597","624","666","570","623","647"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,406","2,287","2,359","2,231","2,394","2,322"
"Refiner Inputs and Utilization ","Gross Inputs","15,987","15,989","16,312","15,570","16,400","16,594"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","784","853","945","925","859","1,052"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,478","3,448","3,627","3,575","3,651","3,717"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,568","8,640","8,484","8,095","8,729","8,686"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","597","622","664","573","622","646"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,560","2,426","2,593","2,403","2,539","2,494"
"Refiner Inputs and Utilization ","Operable Capacity","18,604","18,604","18,513","18,474","18,604","18,511"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,182","1,278","1,224","1,182"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,094","4,094","4,013","3,957","4,094","4,013"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,765","9,765","9,777","9,620","9,765","9,775"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","683","683","693","696","683","693"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,838","2,838","2,848","2,924","2,838","2,848"
"Refiner Inputs and Utilization ","Percent Utilization","85.9","85.9","88.1","84.3","88.2","89.6"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","64.0","69.7","79.9","72.4","70.2","89.0"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","85.0","84.2","90.4","90.4","89.2","92.6"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","87.8","88.5","86.8","84.2","89.4","88.9"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","87.5","91.1","95.8","82.3","91.0","93.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","90.2","85.5","91.1","82.2","89.5","87.6"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","830","435","422","283","490","315"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,332","2,338","2,196","2,143","2,315","2,192"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","82","190","126","117","75","106"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,664","-2,265","-1,973","-2,072","-1,995","-2,046"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-46","-32","-110","-55","-43","-87"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","126","204","182","149","138","151"
"Refiner and Blender Net Inputs ","RBOB","859","525","370","330","597","448"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","642","583","449","446","562","510"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","61","19","89","27","47","41"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-28","-206","-316","-211","-142","-231"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","184","129","148","68","131","128"
"Refiner and Blender Net Inputs ","CBOB","-158","-271","-353","-141","-334","-346"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,538","1,603","1,584","1,477","1,546","1,490"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","89","183","77","142","66","111"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,704","-2,077","-1,951","-1,820","-1,925","-1,888"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-59","-42","-78","-56","-50","-72"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-21","61","16","116","29","13"
"Refiner and Blender Net Inputs ","GTAB","46","75","-30","80","71","45"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","46","75","-30","80","71","45"
