"STUB_1","STUB_2","11/23/12","11/16/12","11/25/11","11/26/10","11/23/12","11/25/11"
"Crude Oil Production ","Domestic Production","6,818","6,710","5,864","5,555","6,729","5,873"
"Crude Oil Production ","Alaska","558","548","606","599","551","586"
"Crude Oil Production ","Lower 48","6,260","6,162","5,258","4,956","6,177","5,287"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,174","14,889","14,565","14,114","14,836","14,594"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","850","800","1,076","952","811","1,141"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,307","3,271","3,480","3,152","3,301","3,334"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,095","7,990","7,228","7,187","7,914","7,358"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","566","562","585","558","535","566"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,357","2,265","2,196","2,265","2,274","2,195"
"Refiner Inputs and Utilization ","Gross Inputs","15,400","15,200","15,002","14,526","15,098","14,964"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","849","873","1,077","955","834","1,131"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,265","3,232","3,492","3,198","3,269","3,352"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,237","8,145","7,494","7,330","8,058","7,559"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","569","566","586","559","539","567"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,479","2,383","2,352","2,485","2,398","2,355"
"Refiner Inputs and Utilization ","Operable Capacity","17,380","17,380","17,736","17,594","17,380","17,736"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,293","1,293","1,618","1,397","1,293","1,618"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,710","3,710","3,721","3,728","3,710","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","8,626","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","624","623","624","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,028","3,028","3,128","3,219","3,028","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","88.6","87.5","84.6","82.6","86.9","84.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","65.7","67.5","66.6","68.4","64.5","69.9"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","88.0","87.1","93.9","85.8","88.1","90.1"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","94.4","93.4","86.7","85.0","92.4","87.4"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","91.3","90.8","93.9","89.7","86.4","90.9"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","81.9","78.7","75.2","77.2","79.2","75.3"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","93","382","444","438","268","524"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,034","2,110","1,897","1,989","2,089","1,982"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","81","106","47","87","138","103"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,124","-1,868","-1,614","-1,732","-2,023","-1,704"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-12","-16","-28","-5","-13","-10"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","113","49","143","99","77","153"
"Refiner and Blender Net Inputs ","RBOB","417","395","297","308","390","251"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","656","639","410","433","624","400"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","55","17","10","19","50","22"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-305","-254","-166","-243","-305","-204"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","12","-8","43","99","21","33"
"Refiner and Blender Net Inputs ","CBOB","-364","-307","-210","-102","-189","-86"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,185","1,199","1,179","1,230","1,302","1,243"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","68","45","-31","68","61","31"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,713","-1,612","-1,394","-1,409","-1,631","-1,418"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-26","-37","-19","-7","-17","-17"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","122","97","56","16","96","75"
"Refiner and Blender Net Inputs ","GTAB","59","73","176","145","45","135"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","59","73","149","145","45","128"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","27","0","0","7"
"Refiner and Blender Net Inputs ","All Other Blending Components","-19","222","181","88","21","224"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","134","200","158","180","117","211"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-41","43","68","1","27","49"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-106","-2","-55","-80","-86","-82"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","14","21","-9","3","4","7"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-20","-41","18","-16","-40","38"
"Refiner and Blender Net Inputs ","Fuel Ethanol","811","811","793","755","817","809"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","302","299","302","290","299","306"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","219","222","207","194","224","218"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","125","125","120","111","127","122"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","22","21","21","17","22","21"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","141","144","142","143","145","143"
"Refiner and Blender Net Production ","Finished Motor Gasoline","8,729","9,189","9,188","8,795","8,978","9,152"
"Refiner and Blender Net Production ","Finished Motor Gasoline (less Adjustment)","8,884","9,001","8,982","8,788","8,922","8,988"
