"STUB_1","STUB_2","10/14/16","10/7/16","10/16/15","10/17/14","10/14/16","10/16/15"
"Crude Oil Production ","Domestic Production","8,464","8,450","9,096","8,934","8,470","9,115"
"Crude Oil Production ","Alaska","489","481","490","491","472","484"
"Crude Oil Production ","Lower 48","7,975","7,969","8,606","8,443","7,998","8,631"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,370","15,552","15,345","15,208","15,822","15,533"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,063","1,038","1,141","1,143","1,060","1,085"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,533","3,394","2,824","3,217","3,493","3,008"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,079","8,164","8,416","7,894","8,315","8,392"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","584","609","608","524","624","597"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,110","2,347","2,356","2,429","2,329","2,451"
"Refiner Inputs and Utilization ","Gross Inputs","15,671","15,754","15,597","15,447","16,079","15,771"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,065","1,029","1,140","1,150","1,054","1,085"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,534","3,395","2,823","3,223","3,494","3,009"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,271","8,257","8,557","7,962","8,449","8,522"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","574","599","605","526","620","595"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,226","2,475","2,473","2,586","2,462","2,560"
"Refiner Inputs and Utilization ","Operable Capacity","18,436","18,436","18,058","17,814","18,436","18,038"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,278","1,278","1,273","1,297","1,278","1,271"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,934","3,934","3,842","3,810","3,934","3,842"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,605","9,605","9,360","9,154","9,605","9,344"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","696","696","651","647","696","649"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,924","2,924","2,933","2,907","2,924","2,933"
"Refiner Inputs and Utilization ","Percent Utilization","85.0","85.5","86.4","86.7","87.2","87.4"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","83.4","80.5","89.5","88.6","82.5","85.4"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","89.8","86.3","73.5","84.6","88.8","78.3"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","86.1","86.0","91.4","87.0","88.0","91.2"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","82.5","86.1","92.9","81.3","89.0","91.7"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","76.1","84.7","84.3","89.0","84.2","87.3"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","1,009","1,058","1,058","914","948","823"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,356","2,406","2,273","2,177","2,342","2,221"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","340","416","578","532","394","556"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,894","-1,794","-2,092","-1,904","-1,913","-2,131"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-11","-26","-6","26","-23","-14"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","219","56","306","83","149","191"
"Refiner and Blender Net Inputs ","RBOB","485","255","556","369","394","338"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","581","494","565","505","523","525"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","3","33","47","35","35","27"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-311","-234","-220","-212","-280","-283"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","211","-39","164","41","115","70"
"Refiner and Blender Net Inputs ","CBOB","-50","116","-202","217","4","52"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,408","1,477","1,376","1,439","1,424","1,377"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","282","304","431","373","301","468"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,763","-1,654","-2,084","-1,721","-1,728","-1,855"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-16","-30","-6","25","-24","-8"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","41","20","81","102","31","70"
"Refiner and Blender Net Inputs ","GTAB","1","127","128","79","78","98"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1","127","128","79","78","98"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","572","560","576","248","472","335"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","366","308","204","154","317","221"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","55","79","100","124","58","61"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","180","94","212","29","95","7"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","5","4","-1","1","0","-6"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-33","74","60","-60","2","52"
"Refiner and Blender Net Inputs ","Fuel Ethanol","915","916","897","876","914","887"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","328","339","326","322","333","320"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","249","244","241","241","246","239"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","147","146","144","135","145","142"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","31","31","30","27","31","30"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","160","156","155","152","159","156"
"Refiner and Blender Net Production ","Finished Motor Gasoline","9,498","9,935","9,579","9,313","9,744","9,545"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","9,894","10,094","9,854","9,548","10,007","9,751"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,156","3,271","3,144","3,131","3,217","3,099"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,609","2,623","2,568","2,488","2,613","2,550"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,151","2,328","2,260","2,054","2,234","2,202"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","324","334","323","294","333","319"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,653","1,539","1,559","1,582","1,609","1,581"
"Refiner and Blender Net Production ","Adjustment","-396","-159","-275","-235","-263","-207"
"Refiner and Blender Net Production ","Reformulated","3,240","3,225","3,198","3,068","3,250","3,168"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,277","1,271","1,272","1,203","1,284","1,257"
"Refiner and Blender Net Production ","Midwest (PADD 2)","357","355","359","359","361","355"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","474","467","453","419","469","447"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,132","1,132","1,114","1,087","1,137","1,110"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","3,240","3,225","3,198","3,068","3,250","3,168"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,277","1,271","1,272","1,203","1,284","1,257"
"Refiner and Blender Net Production ","Midwest (PADD 2)","357","355","359","359","361","355"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","474","467","453","419","469","447"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,132","1,132","1,114","1,087","1,137","1,110"
"Refiner and Blender Net Production ","Other","0","0","0","0","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","6,654","6,870","6,656","6,480","6,756","6,583"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,879","1,999","1,872","1,928","1,932","1,842"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,252","2,268","2,209","2,129","2,253","2,196"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,677","1,861","1,806","1,635","1,766","1,755"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","324","334","323","294","333","319"
"Refiner and Blender Net Production ","West Coast (PADD 5)","521","407","446","495","472","471"
