"STUB_1","STUB_2","12/7/12","11/30/12","12/9/11","12/10/10","12/7/12","12/9/11"
"Crude Oil Production ","Domestic Production","6,852","6,817","5,862","5,604","6,799","5,869"
"Crude Oil Production ","Alaska","558","557","605","621","555","600"
"Crude Oil Production ","Lower 48","6,294","6,260","5,257","4,983","6,244","5,269"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,367","15,429","14,657","14,974","15,215","14,816"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","992","981","1,094","1,113","906","1,077"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,390","3,499","3,505","3,314","3,367","3,497"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,129","8,093","7,358","7,539","8,077","7,420"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","593","582","559","528","576","573"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,263","2,275","2,143","2,480","2,290","2,249"
"Refiner Inputs and Utilization ","Gross Inputs","15,717","15,740","15,097","15,487","15,514","15,207"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,032","997","1,094","1,113","938","1,078"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,356","3,463","3,530","3,369","3,329","3,515"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,322","8,303","7,611","7,789","8,252","7,636"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","597","584","559","534","579","573"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,409","2,394","2,303","2,682","2,416","2,406"
"Refiner Inputs and Utilization ","Operable Capacity","17,395","17,380","17,736","17,594","17,384","17,736"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,293","1,293","1,618","1,397","1,293","1,618"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,720","3,710","3,721","3,728","3,713","3,721"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,725","8,725","8,646","8,626","8,725","8,646"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","624","624","624","623","624","624"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","3,032","3,028","3,128","3,219","3,029","3,128"
"Refiner Inputs and Utilization ","Percent Utilization","90.4","90.6","85.1","88.0","89.2","85.7"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","79.9","77.1","67.6","79.7","72.5","66.6"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","90.2","93.3","94.9","90.4","89.7","94.5"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","95.4","95.2","88.0","90.3","94.6","88.3"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","95.6","93.6","89.6","85.7","92.8","91.8"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","79.5","79.1","73.6","83.3","79.8","76.9"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","-19","-382","571","627","18","376"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,931","1,911","1,927","1,763","1,996","1,899"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","99","-36","104","238","63","88"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,099","-2,170","-1,764","-1,506","-2,065","-1,752"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-25","-53","-20","8","-27","-22"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","75","-34","324","124","51","163"
"Refiner and Blender Net Inputs ","RBOB","134","379","452","198","331","269"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","458","603","438","390","589","421"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","-14","24","15","44","21","15"
