"STUB_1","STUB_2","11/1/19","10/25/19","11/2/18","11/3/17","11/1/19","11/2/18"
"Crude Oil Production ","Domestic Production","12,600","12,600","11,600","9,620","12,600","11,150"
"Crude Oil Production ","Alaska","484","456","488","509","477","487"
"Crude Oil Production ","Lower 48","12,100","12,100","11,100","9,111","12,100","10,650"
"Refiner Inputs and Utilization ","Crude Oil Inputs","15,761","15,998","16,408","16,305","15,765","16,352"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","725","723","907","1,143","727","919"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,728","3,705","3,214","3,388","3,633","3,116"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,328","8,576","9,234","8,799","8,408","9,266"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","555","564","604","588","567","638"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,426","2,430","2,449","2,388","2,430","2,413"
"Refiner Inputs and Utilization ","Gross Inputs","16,169","16,487","16,740","16,645","16,071","16,617"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","730","727","912","1,144","732","928"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","3,753","3,731","3,164","3,391","3,632","3,036"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","8,595","8,861","9,439","8,998","8,631","9,421"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","558","566","601","585","568","637"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,533","2,602","2,624","2,527","2,508","2,595"
"Refiner Inputs and Utilization ","Operable Capacity","18,802","18,802","18,599","18,569","18,802","18,599"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","1,224","1,224","1,224","1,182","1,224","1,224"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","4,141","4,141","4,092","4,011","4,141","4,092"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","9,876","9,876","9,762","9,752","9,876","9,762"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","687","687","683","692","687","683"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","2,875","2,875","2,838","2,933","2,875","2,838"
"Refiner Inputs and Utilization ","Percent Utilization","86.0","87.7","90.0","89.6","85.5","89.3"
"Refiner Inputs and Utilization ","East Coast (PADD 1)","59.7","59.4","74.5","96.8","59.8","75.8"
"Refiner Inputs and Utilization ","Midwest (PADD 2)","90.6","90.1","77.3","84.6","87.7","74.2"
"Refiner Inputs and Utilization ","Gulf Coast (PADD 3)","87.0","89.7","96.7","92.3","87.4","96.5"
"Refiner Inputs and Utilization ","Rocky Mountain (PADD 4)","81.2","82.4","87.9","84.5","82.7","93.3"
"Refiner Inputs and Utilization ","West Coast (PADD 5)","88.1","90.5","92.5","86.2","87.2","91.4"
"Refiner and Blender Net Inputs ","Motor Gasoline Blending Components","791","885","602","968","872","779"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","2,380","2,506","2,342","2,444","2,456","2,333"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","306","417","431","341","350","567"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-2,059","-2,199","-2,195","-1,894","-2,081","-2,192"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-36","-10","-17","-51","-15","-15"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","200","171","40","128","161","85"
"Refiner and Blender Net Inputs ","RBOB","587","519","557","459","535","452"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","612","613","536","571","605","462"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","76","100","94","32","86","76"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-291","-248","-148","-288","-266","-186"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","190","55","76","144","110","100"
"Refiner and Blender Net Inputs ","CBOB","77","-155","-172","309","-45","46"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","1,589","1,610","1,608","1,626","1,605","1,668"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","229","299","333","320","242","466"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","-1,805","-2,091","-2,126","-1,601","-1,933","-2,078"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-28","-30","-21","-50","-26","-19"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","91","57","33","15","66","10"
"Refiner and Blender Net Inputs ","GTAB","95","42","95","66","56","87"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","95","42","95","66","56","87"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Inputs ","All Other Blending Components","32","479","123","134","326","194"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","84","242","104","182","190","116"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","0","18","3","-11","21","25"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","37","139","79","-5","118","73"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","-8","20","4","-1","11","4"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","-82","60","-68","-32","-15","-25"
"Refiner and Blender Net Inputs ","Fuel Ethanol","917","936","917","918","931","931"
"Refiner and Blender Net Inputs ","East Coast (PADD 1)","332","338","337","332","337","340"
"Refiner and Blender Net Inputs ","Midwest (PADD 2)","251","258","245","248","253","252"
"Refiner and Blender Net Inputs ","Gulf Coast (PADD 3)","149","152","148","146","153","150"
"Refiner and Blender Net Inputs ","Rocky Mountain (PADD 4)","28","31","30","32","31","31"
"Refiner and Blender Net Inputs ","West Coast (PADD 5)","157","158","157","161","158","158"
"Refiner and Blender Net Production ","Finished Motor Gasoline","10,036","10,184","9,714","10,167","10,079","10,134"
"Refiner and Blender Net Production ","Finished Motor Gasoline (excl. Adjustment)","10,193","10,207","10,185","10,306","10,163","10,294"
"Refiner and Blender Net Production ","East Coast (PADD 1)","3,212","3,264","3,191","3,178","3,244","3,248"
"Refiner and Blender Net Production ","Midwest (PADD 2)","2,652","2,715","2,519","2,602","2,658","2,620"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","2,457","2,333","2,587","2,594","2,372","2,534"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","274","326","306","295","315","320"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,597","1,569","1,583","1,637","1,573","1,573"
"Refiner and Blender Net Production ","Adjustment","-157","-23","-471","-139","-84","-160"
"Refiner and Blender Net Production ","Reformulated","3,211","3,249","3,246","3,253","3,230","3,271"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,258","1,299","1,284","1,241","1,277","1,302"
"Refiner and Blender Net Production ","Midwest (PADD 2)","358","367","357","376","365","365"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","464","477","479","467","476","484"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,131","1,106","1,126","1,168","1,113","1,120"
"Refiner and Blender Net Production ","Blended with Fuel Ethanol","3,211","3,249","3,246","3,253","3,230","3,271"
"Refiner and Blender Net Production ","East Coast (PADD 1)","1,258","1,299","1,284","1,241","1,277","1,302"
"Refiner and Blender Net Production ","Midwest (PADD 2)","358","367","357","376","365","365"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","464","477","479","467","476","484"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","1,131","1,106","1,126","1,168","1,113","1,120"
"Refiner and Blender Net Production ","Other","0","0","0","0","0","0"
"Refiner and Blender Net Production ","East Coast (PADD 1)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Midwest (PADD 2)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","West Coast (PADD 5)","0","0","0","0","0","0"
"Refiner and Blender Net Production ","Conventional","6,982","6,957","6,939","7,054","6,933","7,024"
