z,D1,D2,D1_no_year_fe,D2_no_year_fe
-10.444744589203502,1.3376495073712067,1.2871482147871371,1.6104917787505435,0.7952744943650734
-10.35958938459394,1.3259599679343548,1.2765740573109647,1.596431430406159,0.7933935523777924
-10.27443417998438,1.3142704284975029,1.2659998998347919,1.582371082061775,0.7915126103905115
-10.189278975374819,1.302580889060651,1.2554257423586193,1.5683107337173905,0.7896316684032296
-10.104123770765257,1.290891349623799,1.2448515848824468,1.554250385373006,0.7877507264159487
-10.018968566155696,1.279201810186947,1.234277427406274,1.5401900370286215,0.7858697844286668
-9.933813361546136,1.2675122707500952,1.2237032699301018,1.5261296886842375,0.783988842441385
-9.848658156936574,1.2558227313132433,1.213129112453929,1.512069340339853,0.7821079004541049
-9.763502952327013,1.2441331918763912,1.202554954977756,1.4980089919954684,0.7802269584668231
-9.678347747717451,1.2324436524395392,1.1919807975015835,1.483948643651084,0.7783460164795422
-9.593192543107891,1.2207541130026875,1.181406640025411,1.4698882953066998,0.7764650744922603
-9.50803733849833,1.2090645735658354,1.1708324825492382,1.4558279469623154,0.7745841325049785
-9.422882133888768,1.1973750341289835,1.1602583250730656,1.441767598617931,0.7727031905176975
-9.337726929279206,1.1856854946921316,1.149684167596893,1.4277072502735466,0.7708222485304157
-9.252571724669647,1.1739959552552797,1.1391100101207206,1.4136469019291624,0.7689413065431356
-9.167416520060085,1.1623064158184278,1.1285358526445477,1.399586553584778,0.7670603645558538
-9.082261315450523,1.1506168763815758,1.117961695168375,1.3855262052403936,0.765179422568572
-8.997106110840964,1.138927336944724,1.1073875376922024,1.3714658568960094,0.763298480581291
-8.911950906231402,1.127237797507872,1.0968133802160298,1.357405508551625,0.7614175385940092
-8.82679570162184,1.11554825807102,1.086239222739857,1.3433451602072406,0.7595365966067282
-8.74164049701228,1.1038587186341684,1.0756650652636845,1.3292848118628564,0.7576556546194464
-8.656485292402719,1.0921691791973163,1.065090907787512,1.315224463518472,0.7557747126321654
-8.571330087793157,1.0804796397604643,1.054516750311339,1.3011641151740876,0.7538937706448845
-8.486174883183596,1.0687901003236122,1.0439425928351664,1.287103766829703,0.7520128286576027
-8.401019678574034,1.0571005608867603,1.033368435358994,1.2730434184853185,0.7501318866703217
-8.315864473964474,1.0454110214499086,1.0227942778828212,1.2589830701409344,0.7482509446830399
-8.230709269354913,1.0337214820130567,1.0122201204066485,1.24492272179655,0.746370002695758
-8.145554064745351,1.0220319425762046,1.0016459629304761,1.2308623734521655,0.7444890607084771
-8.060398860135791,1.0103424031393529,0.9910718054543034,1.2168020251077813,0.7426081187211961
