model,term,estimate,hac_std_error,hac_ci_lower,hac_ci_upper,inference_status
D1,intercept,-0.596055881006877,0.14109127695614185,-0.872589702373681,-0.3195220596400729,available
D1,season_sin,-0.1193667990245957,0.09376418977807184,-0.3031412340291952,0.0644076359800038,available
D1,season_cos,-0.14050854019177175,0.0699142229831516,-0.27753789924585137,-0.0034791811376921056,available
D1,inv_z,-0.1372733409595899,0.05849036576080616,-0.25191235129334466,-0.022634330625835114,available
D1,year_2016,0.04281590365104715,0.11611085657785304,-0.18475719345564046,0.27038900075773475,available
D1,year_2017,0.42948297632338456,0.1262084813727417,0.18211889828931652,0.6768470543574526,available
D1,year_2018,-0.022740958103149245,0.5611662092410233,-1.122606517556423,1.0771246013501246,available
D1,year_2019,0.5081460784751856,0.17145165293202894,0.1721070136385477,0.8441851433118235,available
D1,year_2020,-0.03408065382834944,0.38649655383463544,-0.791599979493081,0.7234386718363821,available
D1,year_2021,1.0735592044698254,0.1599789040678669,0.7600063142106179,1.387112094729033,available
D1,year_2022,1.6421304417175584,0.35635649863033003,0.9436845387453144,2.3405763446898025,available
D1,year_2023,0.8019302762344168,0.1886496375547654,0.43218378093054177,1.1716767715382919,available
D1,year_2024,1.0117475683135133,0.24698146418872294,0.5276727936546473,1.4958223429723794,available
D2,intercept,-0.6041752802440512,0.17625789923426138,-0.9496344147338935,-0.2587161457542089,available
D2,season_sin,-0.11533063358947086,0.09348082889300734,-0.29854969146471655,0.06788842428577481,available
D2,season_cos,-0.1629550027030306,0.07701037738600433,-0.3138925688154369,-0.012017436590624264,available
D2,inv_z,-0.22110863906115596,0.12902060435931642,-0.47398437686900763,0.0317670987466957,available
D2,year_2016,0.059254685070558866,0.12881118008520345,-0.19321058870254293,0.31171995884366066,available
D2,year_2017,0.4957292259929086,0.18794746871157234,0.12735895633275812,0.864099495653059,available
D2,year_2018,-0.023224886024085123,0.5185002854976151,-1.0394667715731463,0.993016999524976,available
D2,year_2019,0.47479903410790164,0.19899948137932344,0.08476721766227857,0.8648308505535247,available
D2,year_2020,-0.006886928520620367,0.395037039505007,-0.7811452985097607,0.76737144146852,available
D2,year_2021,1.0587920350074969,0.18253326261378383,0.701033414303889,1.4165506557111047,available
D2,year_2022,1.5916901390821956,0.3552578274405146,0.8953975920728416,2.2879826860915493,available
D2,year_2023,0.7771030364389035,0.20341681919281393,0.3784133969712922,1.175792675906515,available
D2,year_2024,0.9816549806254886,0.2684326480380352,0.45553665819622324,1.507773303054754,available
D2,low_hinge,-0.09693352228872343,0.16143461104837553,-0.41333954580177135,0.2194725012243245,available
D2,high_hinge,0.1806137971143384,0.255607705981099,-0.320368100779519,0.6815956950081958,available
D1_no_year_fe,intercept,-0.11049092487113261,0.08293958165163459,-0.2730495178011555,0.05206766805889028,available
D1_no_year_fe,season_sin,-0.10141144049948184,0.14565230666947668,-0.38688471583683925,0.18406183483787555,available
D1_no_year_fe,season_cos,-0.1061064065396503,0.10563929868219506,-0.3131556273088222,0.1009428142295216,available
D1_no_year_fe,inv_z,-0.1651143744983226,0.048936072261611695,-0.26102731367593107,-0.06920143532071414,available
D2_no_year_fe,intercept,-0.012234217697894956,0.09416208979072098,-0.19678852239673478,0.17232008700094487,available
D2_no_year_fe,season_sin,-0.09316866352136725,0.126348519027418,-0.34080721031508027,0.1544698832723458,available
D2_no_year_fe,season_cos,-0.23017832717475134,0.10934400946372144,-0.4444886476488522,-0.015868006700650472,available
D2_no_year_fe,inv_z,-0.6045600132285425,0.1253700845569904,-0.8502808636989848,-0.3588391627581001,available
D2_no_year_fe,low_hinge,-0.5824716159790082,0.13721688483750374,-0.8514117683312958,-0.31353146362672063,available
D2_no_year_fe,high_hinge,0.5034082867242224,0.2911294986336514,-0.06719504543493715,1.074011618883382,available
