model,status,n,year_controls,in_sample_mae,in_sample_rmse,in_sample_r_squared,joint_hinge_p_value
D1,available,481,True,0.3534647757673908,0.6014068144307214,0.5902056992019535,
D2,available,481,True,0.3544152013396242,0.6004699689352864,0.5914814244291797,0.775308017317966
D1_no_year_fe,available,481,False,0.5139615408489691,0.8110936031601897,0.2546312559351316,
D2_no_year_fe,available,481,False,0.44415601732800614,0.743559183763692,0.3735876538614674,2.9008952602011894e-07
