block_length,model,state,estimate,valid_repetitions,invalid_repetitions,status,reason,ci_lower,ci_upper,diagnostic_percentile_lower,diagnostic_percentile_upper
8,D1,Low,-0.1372733409595899,2000,0,available,,-0.3390541489546031,-0.03608264950519253,-0.3390541489546031,-0.03608264950519253
8,D1,Normal,-0.1372733409595899,2000,0,available,,-0.3390541489546031,-0.03608264950519253,-0.3390541489546031,-0.03608264950519253
8,D1,High,-0.1372733409595899,2000,0,available,,-0.3390541489546031,-0.03608264950519253,-0.3390541489546031,-0.03608264950519253
8,D2,Low,-0.12417511677243254,2000,0,available,,-0.4769590445971213,0.0010990667466068043,-0.4769590445971213,0.0010990667466068043
8,D2,Normal,-0.22110863906115596,2000,0,available,,-0.6092318390959763,0.019016666200633116,-0.6092318390959763,0.019016666200633116
8,D2,High,-0.04049484194681757,2000,0,available,,-0.39799390379979416,0.3911190458929332,-0.39799390379979416,0.3911190458929332
8,D1_no_year_fe,Low,-0.1651143744983226,2000,0,available,,-0.31216753828253835,-0.09412823469819628,-0.31216753828253835,-0.09412823469819628
8,D1_no_year_fe,Normal,-0.1651143744983226,2000,0,available,,-0.31216753828253835,-0.09412823469819628,-0.31216753828253835,-0.09412823469819628
8,D1_no_year_fe,High,-0.1651143744983226,2000,0,available,,-0.31216753828253835,-0.09412823469819628,-0.31216753828253835,-0.09412823469819628
8,D2_no_year_fe,Low,-0.022088397249534264,2000,0,available,,-0.20227958177009273,0.04423399053418215,-0.20227958177009273,0.04423399053418215
8,D2_no_year_fe,Normal,-0.6045600132285425,2000,0,available,,-0.8765622174194148,-0.37738085442090236,-0.8765622174194148,-0.37738085442090236
8,D2_no_year_fe,High,-0.10115172650432003,2000,0,available,,-0.4032087512081664,0.36788681071695817,-0.4032087512081664,0.36788681071695817
4,D1,Low,-0.1372733409595899,2000,0,available,,-0.28276894497178745,-0.05256894035712894,-0.28276894497178745,-0.05256894035712894
4,D1,Normal,-0.1372733409595899,2000,0,available,,-0.28276894497178745,-0.05256894035712894,-0.28276894497178745,-0.05256894035712894
4,D1,High,-0.1372733409595899,2000,0,available,,-0.28276894497178745,-0.05256894035712894,-0.28276894497178745,-0.05256894035712894
4,D2,Low,-0.12417511677243254,2000,0,available,,-0.32973188513259094,-0.02286561898816372,-0.32973188513259094,-0.02286561898816372
4,D2,Normal,-0.22110863906115596,2000,0,available,,-0.5194691727977092,0.00847283845251789,-0.5194691727977092,0.00847283845251789
4,D2,High,-0.04049484194681757,2000,0,available,,-0.32667713723416886,0.31373833453618216,-0.32667713723416886,0.31373833453618216
4,D1_no_year_fe,Low,-0.1651143744983226,2000,0,available,,-0.25907067293154273,-0.10594057781747435,-0.25907067293154273,-0.10594057781747435
4,D1_no_year_fe,Normal,-0.1651143744983226,2000,0,available,,-0.25907067293154273,-0.10594057781747435,-0.25907067293154273,-0.10594057781747435
4,D1_no_year_fe,High,-0.1651143744983226,2000,0,available,,-0.25907067293154273,-0.10594057781747435,-0.25907067293154273,-0.10594057781747435
4,D2_no_year_fe,Low,-0.022088397249534264,2000,0,available,,-0.12252752062820171,0.035918247024393724,-0.12252752062820171,0.035918247024393724
4,D2_no_year_fe,Normal,-0.6045600132285425,2000,0,available,,-0.8200278409878976,-0.4121075871265533,-0.8200278409878976,-0.4121075871265533
4,D2_no_year_fe,High,-0.10115172650432003,2000,0,available,,-0.362401171585272,0.2630742633436351,-0.362401171585272,0.2630742633436351
13,D1,Low,-0.1372733409595899,2000,0,available,,-0.3959346355518001,-0.0295302441242113,-0.3959346355518001,-0.0295302441242113
13,D1,Normal,-0.1372733409595899,2000,0,available,,-0.3959346355518001,-0.0295302441242113,-0.3959346355518001,-0.0295302441242113
13,D1,High,-0.1372733409595899,2000,0,available,,-0.3959346355518001,-0.0295302441242113,-0.3959346355518001,-0.0295302441242113
13,D2,Low,-0.12417511677243254,2000,0,available,,-0.5820905933834631,0.022301400258474494,-0.5820905933834631,0.022301400258474494
13,D2,Normal,-0.22110863906115596,2000,0,available,,-0.8080365555898276,0.006226218985614105,-0.8080365555898276,0.006226218985614105
13,D2,High,-0.04049484194681757,2000,0,available,,-0.44960557210270446,0.45463643757052774,-0.44960557210270446,0.45463643757052774
13,D1_no_year_fe,Low,-0.1651143744983226,2000,0,available,,-0.40006015752080215,-0.08594364918395112,-0.40006015752080215,-0.08594364918395112
13,D1_no_year_fe,Normal,-0.1651143744983226,2000,0,available,,-0.40006015752080215,-0.08594364918395112,-0.40006015752080215,-0.08594364918395112
13,D1_no_year_fe,High,-0.1651143744983226,2000,0,available,,-0.40006015752080215,-0.08594364918395112,-0.40006015752080215,-0.08594364918395112
13,D2_no_year_fe,Low,-0.022088397249534264,2000,0,available,,-0.4666858077239998,0.05015274412223271,-0.4666858077239998,0.05015274412223271
13,D2_no_year_fe,Normal,-0.6045600132285425,2000,0,available,,-0.9087873993449788,-0.3238286363084112,-0.9087873993449788,-0.3238286363084112
13,D2_no_year_fe,High,-0.10115172650432003,2000,0,available,,-0.431439065315839,0.49828655453409015,-0.431439065315839,0.49828655453409015
